20201223,徐汇,衡山路,武康路，交大地铁边，中区楼层，朝南1房。,368万,1室1厅 | 37平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9nBCw0qj7_1.jpg.296x216.jpg
20201223,徐汇,衡山路,襄阳北路66弄 2室1厅 南新上,408万,2室1厅 | 39.8平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,http://image1.ljcdn.com/110000-inspection/e743edef-e020-43fa-a5d6-798770c6ea94_1000.jpg.296x216.jpg
20201223,徐汇,衡山路,音乐学院+近地铁1,10,12号线+精装一房，诚意出售！房主自荐,385万,1室1厅 | 28.61平米 | 南 | 精装 | 低楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iZAQuo1mM_1.jpg.296x216.jpg
20201223,徐汇,衡山路,电梯房，楼层好，视野好，地段好房主自荐,635万,2室1厅 | 60.28平米 | 南 | 精装 | 高楼层(共15层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_X7XG5ayJs_1.jpg.296x216.jpg
20201223,徐汇,衡山路,交响乐团旁边能看别墅景观的2房，满五年不唯一很安静房主自荐,715万,2室1厅 | 69.44平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q9eU6s2Is_1.jpg.296x216.jpg
20201223,徐汇,衡山路,淮海中路吴兴路 高区小三房 采光通风全天不挡 急卖房主自荐,662万,3室2厅 | 68.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-698fd0c5-bdd3-4475-980c-f7e572767bb1.jpg.296x216.jpg
20201223,徐汇,衡山路,小区目前在售大两房，可以2+1，视野好。房主自荐,1590万,2室2厅 | 153.68平米 | 南 | 精装 | 高楼层(共13层)  | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-85771585-556e-4186-b370-a1b55309c7fc.jpg.296x216.jpg
20201223,徐汇,衡山路,吴兴路公安大楼+高区电梯全明1房+居家装修+看房方便,555万,1室1厅 | 48.39平米 | 东 | 精装 | 32层 | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/5dccbb4d-bc4a-4aa1-b58b-ee0027c22d0b_1000.jpg.296x216.jpg
20201223,徐汇,衡山路,淮海中路高安路！2020年竣工新房，户型正气，一房一厅房主自荐,540万,1室1厅 | 40.78平米 | 南 | 毛坯 | 中楼层(共6层) | 1949年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J4TNTpWCB_1.jpg.296x216.jpg
20201223,徐汇,衡山路,建岳居委，02年竣工电梯房。7/9号沿线，交通便利房主自荐,2300万,3室2厅 | 138.19平米 | 南 | 精装 | 中楼层(共29层) | 2002年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_ESZJzwrAI_1.jpg.296x216.jpg
20201223,徐汇,衡山路,东亚品牌外销房+大平层南北通+有会所+看洋房景观,1800万,2室2厅 | 241.89平米 | 南 | 精装 | 中楼层(共22层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/81beb50f-a1b4-477b-8b43-788cdbd43905_1000.jpg.296x216.jpg
20201223,徐汇,衡山路,华山路别墅区，丁香花园，独栋花园洋房，带私家车库,5150万,5室2厅 | 300平米 | 南 | 其他 | 低楼层(共3层) | 1949年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0cQ4GOPCO_1.jpg.296x216.jpg
20201223,徐汇,衡山路,中汇花园+满5年唯一+精装修+带露台+品质小区带会所,1900万,3室2厅 | 188.91平米 | 南 西 北 | 精装 | 22层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aJeMp8Weu_1.jpg.296x216.jpg
20201223,徐汇,衡山路,吴兴路+高安+售后公房满五唯一 +业主诚意出售房主自荐,990万,3室1厅 | 98.25平米 | 南 | 简装 | 32层  | 塔楼,http://image1.ljcdn.com/310000-inspection/test-38f1e5df-0278-42f7-85bd-3eb425b96b09.png.296x216.jpg
20201223,徐汇,衡山路,独栋新式里，四面临空，落叶景观区， 梧桐树景观！,6800万,5室2厅 | 348.3平米 | 东 南 西 北 | 简装 | 低楼层(共3层) | 1935年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_5PbQD9Umi_1.jpg.296x216.jpg
20201223,徐汇,衡山路,复兴中路汾阳路，音乐学院隔壁，中间楼层，适合自住房主自荐,430万,1室1厅 | 34.13平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_M25Hur1zr_1.jpg.296x216.jpg
20201223,徐汇,衡山路,久安小区 1室0厅 南,528万,1室0厅 | 31.8平米 | 南 | 简装 | 低楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rbAz6uRW9_1.jpg.296x216.jpg
20201223,徐汇,衡山路,淮海中路+带电梯+两房朝南+地铁1.10.7号线+采光好,715万,2室1厅 | 77.98平米 | 南 | 精装 | 低楼层(共32层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_UlWDoqhmT_1.jpg.296x216.jpg
20201223,徐汇,衡山路,底楼复式带280平花园+满五唯一无个税+业主诚意房主自荐,4550万,7室2厅 | 261.64平米 | 南 | 精装 | 低楼层(共36层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_OlD305AHf_1.jpg.296x216.jpg
20201223,徐汇,衡山路,湖南路高邮路带电梯。2房朝南全明户型，带固定的车位房主自荐,1280万,2室2厅 | 128.32平米 | 南 | 精装 | 中楼层(共11层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_bFqAd2XyZ_1.jpg.296x216.jpg
20201223,徐汇,衡山路,康平路沿街 产权花园洋房 老房子保养好,13900万,5室2厅 | 387平米 | 南 | 精装 | 低楼层(共1层) | 1935年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q4qPtxZNf_1.jpg.296x216.jpg
20201223,徐汇,衡山路,湖南路+高邮路+2房朝南户型+闹中取静景高区景观房,1270万,3室2厅 | 133.67平米 | 南 | 精装 | 高楼层(共11层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_KygWbSEU0_1.jpg.296x216.jpg
20201223,徐汇,衡山路,兴国苑湖南路近高邮路口，高区景观房楼层好闹中取静,1130万,2室2厅 | 118.17平米 | 南 | 精装 | 高楼层(共11层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_S8N3KVq4D_1.jpg.296x216.jpg
20201223,徐汇,衡山路,兴国路武康路，双南带阳台，满五年，武康大楼房主自荐,615万,2室1厅 | 57.88平米 | 南 | 其他 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_14QukmA0j_1.jpg.296x216.jpg
20201223,徐汇,衡山路,建国西路百年梧桐树景观、两房朝南带阳台、随时看房房主自荐,828万,2室1厅 | 60.04平米 | 南 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gZh0SX1Hd.jpg.296x216.jpg
