20201223,闵行,春申,中海中间位置小三房，绿化好，整洁，品质小区物业管理必看好房,818万,3室2厅 | 99.98平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BMzxE8vhR_1.jpg.296x216.jpg
20201223,闵行,春申,售后公房，税费少，视野采光好，随时可看！！！必看好房,283万,2室1厅 | 75.19平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_noMvaYp5u_1.jpg.296x216.jpg
20201223,闵行,春申,新上精装修双南两房，户型方正+两个储物间必看好房,485万,2室1厅 | 70平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1KKG6nsfT_1.jpg.296x216.jpg
20201223,闵行,春申,高兴花园新上动迁两房，税费少，采光好必看好房,535万,2室1厅 | 70平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KKosHAxER_1.jpg.296x216.jpg
20201223,闵行,春申,房改售房 免/增 五一税少 全明户型 南北通 出行便捷必看好房,468万,2室1厅 | 67.41平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O0lA4GDGG_1.jpg.296x216.jpg
20201223,闵行,春申,临河位置，小区唯一双南户型，采光好，视野好必看好房,430万,2室2厅 | 83.01平米 | 南 | 精装 | 高楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cwXSumzNA_1.jpg.296x216.jpg
20201223,闵行,春申,正气动迁一房，看房方便，你值得拥有必看好房,400万,1室1厅 | 47.56平米 | 南 | 毛坯 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UQ5605QUF_1.jpg.296x216.jpg
20201223,闵行,春申,动迁房，税费少，楼层上佳，采光好必看好房,356万,2室1厅 | 69.28平米 | 南 | 毛坯 | 高楼层(共11层) | 2006年建 | 板楼,
20201223,闵行,春申,四期中间位置、带84㎡的阁楼、南北通透、全明户型新上,660万,4室3厅 | 120.25平米 | 南 北 | 精装 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pY9hyg4qK_1.jpg.296x216.jpg
20201223,闵行,春申,新上房源！带阁楼！带阁楼！飞机户型！三房两卫！新上,536万,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1aKaISWfg_1.jpg.296x216.jpg
20201223,闵行,春申,超大复式，南北通风，采光无遮挡，带大露台，业主诚心房主自荐,909万,5室3厅 | 234.84平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0pcNW6BAo_1.jpg.296x216.jpg
20201223,闵行,春申,徐汇芳邻 三房两厅两卫 诚心出售 看房方便新上,580万,4室2厅 | 124.68平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kjyQ8l4Uj_1.jpg.296x216.jpg
20201223,闵行,春申,精装三房，保养精致，高档社区居中位置！,1250万,3室2厅 | 144.89平米 | 南 北 | 精装 | 中楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OTmTqoC9q_1.jpg.296x216.jpg
20201223,闵行,春申,楼层位置佳，装修棒！满五唯一税费少！诚意出售！！！房主自荐,970万,2室2厅 | 103.73平米 | 南 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fhddMVuuV_1.jpg.296x216.jpg
20201223,闵行,春申,此房为动迁房，无增值税，一年精装修，采光好新上,526万,2室1厅 | 74.57平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zofg1jxX3_1.jpg.296x216.jpg
20201223,闵行,春申,【链家独售】六期电梯房！南花园临水！有钥匙随时看！,2900万,4室2厅 | 481.89平米 | 南 | 毛坯 | 3层 | 2010年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_qFtDvvDL2_1.jpg.296x216.jpg
20201223,闵行,春申,此房满五年唯一，复式，南北通，高楼层，诚心出售,680万,4室2厅 | 177.25平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S72RUmCaZ_1.jpg.296x216.jpg
20201223,闵行,春申,新出中间位置小三房，绿化好，整洁，品质小区物业管理房主自荐,839万,3室2厅 | 99.98平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F2xqgTsUR_1.jpg.296x216.jpg
20201223,闵行,春申,全新装修，视野宽阔，釆光充足，格局合理。,348万,2室1厅 | 79.09平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_13XVEk4op_1.jpg.296x216.jpg
20201223,闵行,春申,银河新都 1室1厅 南 北新上,280万,1室1厅 | 50.63平米 | 南 北 | 精装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8LCUcu1gA_1.jpg.296x216.jpg
20201223,闵行,春申,春申新上低层两房 位静性价高 方正格局优 满五年唯一新上,318万,2室1厅 | 70.62平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jUhhMDCBw_1.jpg.296x216.jpg
20201223,闵行,春申,精装修！正宗大复式！ 卧室全南全明 大露台  诚意出售房主自荐,750万,5室2厅 | 177.07平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-5e9302c8-ac9f-4944-b310-19ae2cff3cae.png.296x216.jpg
20201223,闵行,春申,顶楼复式。做好隔热和防水设计，内置家庭影院。,1200万,3室3厅 | 145.87平米 | 南 | 精装 | 高楼层(共19层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_G3rMmmC1C_1.jpg.296x216.jpg
20201223,闵行,春申,孝心楼层 位靠地铁 配有双南天井 满五年 业主诚售,329万,2室1厅 | 72.78平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gfkHGpA7M_1.jpg.296x216.jpg
20201223,闵行,春申,15年的大平层，一梯一户+层高3.5米+16平大阳台！新上,1780万,4室2厅 | 202平米 | 南 | 精装 | 中楼层(共25层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8t263qIhG_1.jpg.296x216.jpg
20201223,闵行,春申,虹梅路高架出行市区便利，满五年唯一税费低，业主急售,2750万,5室3厅 | 362.21平米 | 南 | 精装 | 3层 | 2003年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_a1RtmecyT_1.jpg.296x216.jpg
20201223,闵行,春申,3+1精装复式+高品质社区+万科物业+使用面积150平左右,1178万,4室2厅 | 84.81平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_MS0XrajTS_1.jpg.296x216.jpg
20201223,闵行,春申,祥生瑞和苑 3室2厅 南,600万,3室2厅 | 118.69平米 | 南 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K5S8PhsXV_1.jpg.296x216.jpg
20201223,闵行,春申,银都名墅一期房源，位置安静花园大，一楼带房间。,2200万,5室3厅 | 336.21平米 | 南 | 简装 | 3层 | 2004年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_vKGtDufET_1.jpg.296x216.jpg
20201223,闵行,春申,满五年唯一，装修5年，空调地暖房主自荐,3100万,5室3厅 | 375平米 | 南 | 精装 | 3层 | 2003年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_7GxjswrBU_1.jpg.296x216.jpg
20201223,闵行,春申,无个税无增值税，房东一年精装修拎包，好楼层好房房主自荐,569万,2室1厅 | 76.77平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iXD3t2BPr_1.jpg.296x216.jpg
20201223,闵行,春申,户型方正，双南户型，采光视野好,420万,2室1厅 | 66.97平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WqCR6iZgr_1.jpg.296x216.jpg
20201223,闵行,春申,双南大两房，交通方便，业主诚意出售,325万,2室1厅 | 68.53平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oIpC3QU85_1.jpg.296x216.jpg
20201223,闵行,春申,楼层好，装修好，直接拎包入住，,577万,2室1厅 | 64.82平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2gUEwWixb_1.jpg.296x216.jpg
20201223,闵行,春申,银河新都 2室1厅 南,338万,2室1厅 | 72.95平米 | 南 | 简装 | 低楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ts94ahb3Z_1.jpg.296x216.jpg
20201223,闵行,春申,小区唯一在售两房，位置佳，中间楼层，满五唯一,750万,2室2厅 | 91.47平米 | 南 | 简装 | 中楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OA0gQxiJt_1.jpg.296x216.jpg
20201223,闵行,春申,新上。好房，精装修，楼层好，有大露台新上,450万,2室2厅 | 89.17平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zwQaEZFje_1.jpg.296x216.jpg
20201223,闵行,春申,江南欣苑 飞机户型 楼层好税费少 业主诚意出售房主自荐,760万,3室2厅 | 124.16平米 | 南 | 简装 | 高楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BM9lNgG8O_1.jpg.296x216.jpg
20201223,闵行,春申,沪上春申 园林社区  户型方正 万科物业 总价低新上,510万,1室1厅 | 49.14平米 | 南 | 简装 | 中楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ofV0u7T6w_1.jpg.296x216.jpg
20201223,闵行,春申,税费低，两个车位可以使用，户型方正，全明，房龄新房主自荐,767万,3室2厅 | 120.63平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_hZwbq2R4a_1.jpg.296x216.jpg
20201223,闵行,春申,春申景城湖滨晨韵 2室2厅 南 北房主自荐,962万,2室2厅 | 106.23平米 | 南 北 | 简装 | 中楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ZGf8KuwN_1.jpg.296x216.jpg
20201223,闵行,春申,顶楼复式，位置好，视野好，业主诚意出售房主自荐,1280万,3室2厅 | 107.28平米 | 南 北 | 简装 | 高楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zvM09VBPP_1.jpg.296x216.jpg
