20201223,长宁,北新泾,总价低单价低！小区中间位置中间楼层采光好，淞虹路站必看好房,244万,1室1厅 | 43.17平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kbspOnLbw_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户，不靠马路，得房率高，全明户型，采光好必看好房,325万,1室1厅 | 54.49平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MZROK03L4_1.jpg.296x216.jpg
20201223,长宁,北新泾,虹康新苑，2室2厅1卫，楼层佳，采光好，免增值税必看好房,550万,2室2厅 | 78.14平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pmdPVJraX_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修，带地暖，南北通，业主诚意出售，看房方便必看好房,555万,2室2厅 | 85.31平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nB4dqLMTW_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，低楼层大两房，精品小区，环境好必看好房,410万,2室1厅 | 74.4平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fcDIxffjI_1.jpg.296x216.jpg
20201223,长宁,北新泾,一房的价格，两房的面积。满五唯一必看好房,295万,2室1厅 | 60.1平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0cgXy6Rad_1.jpg.296x216.jpg
20201223,长宁,北新泾,小区位置好，装修好，无嫌恶设施必看好房,220万,1室1厅 | 44.31平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_27UBKpKwC_1.jpg.296x216.jpg
20201223,长宁,北新泾,急售，房子户型好，业主诚意出售必看好房,260万,1室1厅 | 55.1平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Az4iU8xMu_1.jpg.296x216.jpg
20201223,长宁,北新泾,2号线北新泾 一梯两户 中间楼层 南北格局 房龄新必看好房,297万,1室1厅 | 51.47平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2KwYwubCU_1.jpg.296x216.jpg
20201223,长宁,北新泾,北新泾站，装修好，文明楼栋，楼层合适必看好房,225万,1室1厅 | 38.35平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eLW22eJlM_1.jpg.296x216.jpg
20201223,长宁,北新泾,地铁口，南北通，中间楼层，边套全明，不靠马路！必看好房,309.9万,2室1厅 | 52.68平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_mfo2SOnVg_1.jpg.296x216.jpg
20201223,长宁,北新泾,二号线淞虹路站，馨虹小区正气双南两房，动迁房税少必看好房,365万,2室1厅 | 73.7平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rUwVu71dK_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户 中间楼层  采光好 视野好必看好房,318万,1室1厅 | 53.43平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_74IJrK89L_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修，近北新泾地铁，交通线路四通八达。必看好房,200万,1室0厅 | 36.76平米 | 东 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AD0KzttZW_1.jpg.296x216.jpg
20201223,长宁,北新泾,南北通 房型正气 楼层上佳 采光视野无遮挡必看好房,310万,1室1厅 | 51.62平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aJ53o0uEH_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，采光充足，配套齐全，交通便利必看好房,248万,1室1厅 | 52.33平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dOu0W4K8M_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修四楼，双南三房，拎包入住，近百联.必看好房,549万,3室1厅 | 94.21平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FKzm84Tel_1.jpg.296x216.jpg
20201223,长宁,北新泾,双南两房楼层好一梯两户，房屋前面视野开阔采光好必看好房,410万,2室1厅 | 64.29平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3eb40ff2-b9f1-47c1-b0ab-cb7adc7a8980.png.296x216.jpg
20201223,长宁,北新泾,精装两房、中间楼层、采光好、通风好新上,350万,2室1厅 | 60.22平米 | 东 西 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FM65o2hEw_1.jpg.296x216.jpg
20201223,长宁,北新泾,双南全明户型，电梯高层两房，二号线北新泾站600米新上,410万,2室1厅 | 71.82平米 | 南 | 简装 | 高楼层(共14层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Ij5LuWfWP_1.jpg.296x216.jpg
20201223,长宁,北新泾,2000年商品房小区 带花园 地铁2号线北新泾站 适存新上,648万,2室2厅 | 86.68平米 | 南 北 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rpno8DYeD_1.jpg.296x216.jpg
