20201223,长宁,北新泾,边套全明， 交通便利，精品小区，户型好,300万,1室1厅 | 49.75平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JNz4T9gqE_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户，绿园精装修大一房，业主诚意出售房主自荐,360万,1室1厅 | 59.01平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KLLOi4gvO_1.jpg.296x216.jpg
20201223,长宁,北新泾,2000年商品房 一梯两户两房朝南一房朝北 带院子房主自荐,560万,3室2厅 | 95.61平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hOFES15TP_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五年唯一，楼层好，双南户型，诚意卖,400万,2室1厅 | 65.08平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wxh2GVWdH_1.jpg.296x216.jpg
20201223,长宁,北新泾,户型正气，标准三房，近地铁，通风视野好房主自荐,540万,3室1厅 | 98.17平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_USPjTo7ZD_1.jpg.296x216.jpg
20201223,长宁,北新泾,地铁近，中等装修，满五唯一，售后公房房主自荐,231.5万,1室1厅 | 39.38平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b7DQFkqhO_1.jpg.296x216.jpg
20201223,长宁,北新泾,急急急  售后公房 满五唯一   一梯两户  看中好谈,325万,2室1厅 | 64.64平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-eaf054ee-e4db-4bea-a977-6775f1035ac5.jpg.296x216.jpg
20201223,长宁,北新泾,满五距离地铁站200米，双南两房，采光充足,325万,2室1厅 | 57.08平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sdbZy5mxC_1.jpg.296x216.jpg
20201223,长宁,北新泾,此房满五唯一，税费少，高楼层，采光好，产权清晰,270万,2室1厅 | 51.51平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CdCyTPWbR_1.jpg.296x216.jpg
20201223,长宁,北新泾,小区商品房，采光充足，视野宽阔，业主诚意出售房主自荐,265万,1室1厅 | 56.64平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EscdpnT1R_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，楼层好，业主诚意出售，看房方便房主自荐,330万,2室1厅 | 56.8平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uw8aep1uy_1.jpg.296x216.jpg
20201223,长宁,北新泾,中间楼层，业主诚意出售，看房子方便。房主自荐,240万,1室1厅 | 44.09平米 | 西 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1eEyN0YUz_1.jpg.296x216.jpg
20201223,长宁,北新泾,中间楼层 空户  户型方正小一房房主自荐,228万,1室1厅 | 36.12平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gw9qrDOYw_1.jpg.296x216.jpg
20201223,长宁,北新泾,小户型，低总价，采光通风好，业主诚意出售房主自荐,194万,1室1厅 | 36.03平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9QtmlMk36_1.jpg.296x216.jpg
20201223,长宁,北新泾,剑河家园中高区的一套三房，税费少，全明户型,730万,3室1厅 | 96平米 | 南 | 精装 | 中楼层(共15层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BP3Qi4n6D_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一少税，双南户型，中间好楼层房主自荐,374万,2室1厅 | 58.04平米 | 北 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Lb85xEe66_1.jpg.296x216.jpg
20201223,长宁,北新泾,售后公房满五唯一+中间楼层+边套全明+近菜市场商场房主自荐,320万,2室1厅 | 61.95平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lymXzvgpy_1.jpg.296x216.jpg
20201223,长宁,北新泾,南北通风，户型方正采光好，售后公房税费少，诚意卖房主自荐,338万,2室1厅 | 65.64平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9eivjrZRK_1.jpg.296x216.jpg
20201223,长宁,北新泾,协虹苑 2000年 商品房小区  93.69平两房,545万,2室2厅 | 93.69平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hJM30xre0_1.jpg.296x216.jpg
20201223,长宁,北新泾,此房1梯2户，双南2房，满五唯一，,409万,2室1厅 | 72.12平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iErf05p2E_1.jpg.296x216.jpg
20201223,长宁,北新泾,春房之星，双南户型，一梯两户，得房率高，值得拥有房主自荐,323万,2室1厅 | 63.37平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cb8YOOWFM_1.jpg.296x216.jpg
20201223,长宁,北新泾,优质三房，近地铁，税费少，全明户型，楼层低房主自荐,365万,3室1厅 | 67.24平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ma0JLNC3z_1.jpg.296x216.jpg
20201223,长宁,北新泾,非顶楼，全明南北户型，视野宽阔，采光通风好房主自荐,395万,2室1厅 | 73.59平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KDGoTvhcV_1.jpg.296x216.jpg
20201223,长宁,北新泾,近西郊百联 一梯两户 精装修 复式结构 业主诚意出售房主自荐,498万,2室2厅 | 94.16平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z3dX6j2c0_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修满五年，南北两居，采光十足，房东诚意出售,338万,2室2厅 | 68.64平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mQnTv5oao_1.jpg.296x216.jpg
20201223,长宁,北新泾,中间楼层，全明户，业主诚心出售房主自荐,465万,3室1厅 | 78.9平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sIpLpcMC0_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五，近地铁，采光充足，通风好，单价低。房主自荐,380万,3室1厅 | 73.9平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FEcHY4uBA_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，配套齐全，户型正气，双南朝向，采光好房主自荐,430万,2室1厅 | 69.05平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l9P2y5yNu_1.jpg.296x216.jpg
20201223,长宁,北新泾,户型方正，双南明厨明卫，一梯两户，近地铁，配套齐全房主自荐,435万,2室1厅 | 66.23平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YKVg2ngFs_1.jpg.296x216.jpg
20201223,长宁,北新泾,链家好房，全明户型，格局好，居住体验好房主自荐,450万,3室1厅 | 78.9平米 | 西南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Df2NJFcnx_1.jpg.296x216.jpg
20201223,长宁,北新泾,急售！！采光好，近2号线北新泾/淞虹路地铁口,340万,2室1厅 | 63.79平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RvlT1sYYR_1.jpg.296x216.jpg
20201223,长宁,北新泾,绿园十村 2室1厅 南 北,420万,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_03yUD2aAX_1.jpg.296x216.jpg
20201223,长宁,北新泾,双南全明两房，视野好，采光充足，业主诚意出售房主自荐,330万,2室1厅 | 66.27平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bQkK1pxSE_1.jpg.296x216.jpg
20201223,长宁,北新泾,南北通透，全明户型两房，视野采光好,460万,2室1厅 | 83.23平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X9YOAmO1s_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修双南两房一厅，看房方便，诚意出售！房主自荐,408万,2室1厅 | 63.79平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gfshONRVL_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐，一梯两户，满五唯一，双南两室一厅，位置好房主自荐,398万,2室1厅 | 71.43平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_02GItp6vj_1.jpg.296x216.jpg
20201223,长宁,北新泾,东南朝向，小区环境好，2号线，三房一厅,500万,3室1厅 | 83.87平米 | 南 北 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cBPfoGO7o_1.jpg.296x216.jpg
20201223,长宁,北新泾,新泾一村 2室1厅 南,365万,2室1厅 | 62.2平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bB8blMiFP_1.jpg.296x216.jpg
20201223,长宁,北新泾,品质小区  房型是南北通两房，视野好，税费少。,550万,2室1厅 | 84.81平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nRDU17Vxc_1.jpg.296x216.jpg
20201223,长宁,北新泾,楼层好，视野开阔，双南两房，生活配套成熟房主自荐,352万,2室1厅 | 68.69平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H8JSfFIYB_1.jpg.296x216.jpg
20201223,长宁,北新泾,自如装修，户型方正，看房方便，诚意出售,608万,3室1厅 | 108.57平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0lItvE6Tq_1.jpg.296x216.jpg
20201223,长宁,北新泾,小区安静，车位够用，满五不唯一，一梯两户，房型正气,395万,3室0厅 | 72.71平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yKTPfZnBO_1.jpg.296x216.jpg
20201223,长宁,北新泾,视野开阔，采光好，精装修一房改两房，直接拎包入住房主自荐,317万,2室1厅 | 56.71平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P94cq1puQ_1.jpg.296x216.jpg
20201223,长宁,北新泾,绿园一村 1室1厅 南新上,270万,1室1厅 | 55.29平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jKlOBZigL_1.jpg.296x216.jpg
20201223,长宁,北新泾,新泾三村 1室1厅 南新上,218万,1室1厅 | 37.65平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YG8FVRIZm_1.jpg.296x216.jpg
20201223,长宁,北新泾,售后公房，一梯两户，大三房一厅，采光好，位置好。房主自荐,530万,3室1厅 | 88.14平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y6hJZIlPO_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修！拎包入住，满五唯一,业主诚意出售！房主自荐,215万,1室1厅 | 35.48平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YWT53NAI2_1.jpg.296x216.jpg
20201223,长宁,北新泾,98年小区，一梯2户，小区环境好，2号线淞虹路地铁站房主自荐,290万,1室1厅 | 47.93平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FqtOKpPQ7_1.jpg.296x216.jpg
20201223,长宁,北新泾,出行便利，一梯三户，房屋朝南，精装修，拎包入住房主自荐,279万,2室1厅 | 45.1平米 | 南 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J3Igh4ch0_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，舒适二层，生活便利。房主自荐,315万,2室1厅 | 48.52平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cu8eSYTUX_1.jpg.296x216.jpg
20201223,长宁,北新泾,边套全明，小区中间位置，无遮挡。房主自荐,315万,2室1厅 | 53.29平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vbdEMWc8v_1.jpg.296x216.jpg
20201223,长宁,北新泾,非顶楼，南北通，精装修，采光好房主自荐,330万,2室1厅 | 51.81平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RQxXXNRT4_1.jpg.296x216.jpg
20201223,长宁,北新泾,售后公房！满五唯一!精品两房！业主诚意出售！房主自荐,295万,2室1厅 | 49.76平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zbqtZ5RDn_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五+楼层好+南北格局+采光充足,244万,1室1厅 | 45.36平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1QjpGV3GZ_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户得房率高，正规一房小区中间位置易居住房主自荐,221万,1室1厅 | 45.73平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mLQfhvhlw_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，一楼带天井，适合老人居住,299万,1室1厅 | 50.15平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6RWDyh4Vn_1.jpg.296x216.jpg
20201223,长宁,北新泾,正气南北通，动静分离，满五唯一，采光好，诚意卖,850万,3室2厅 | 126.89平米 | 南 北 | 简装 | 低楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b75ae367-971b-4176-a68b-2bbab719b627.jpg.296x216.jpg
20201223,长宁,北新泾,仙霞西路715弄 两房一厅 业主诚意出售房主自荐,325万,2室1厅 | 62.37平米 | 东 东南 | 精装 | 中楼层(共4层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Trb4ZhCAZ_1.jpg.296x216.jpg
20201223,长宁,北新泾,品质小区，二手买进满五，南北通透，精装修新上,625万,2室1厅 | 85.04平米 | 南 | 精装 | 低楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_npjVMWlWj_1.jpg.296x216.jpg
20201223,长宁,北新泾,少有复式带露台，满五年，大面积低总价，位置好诚意卖,810万,5室2厅 | 154.85平米 | 南 | 其他 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-31bcbae2-ffe9-4d06-b922-869aac955e7d.jpg.296x216.jpg
20201223,长宁,北新泾,2003年商品房，复式带阁楼有露台，预计加电梯,740万,3室2厅 | 131.87平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lvuMY5O2q_1.jpg.296x216.jpg
20201223,长宁,北新泾,超大阁楼，有露台，一梯两户，近淞虹路站，滿五房主自荐,880万,3室2厅 | 135.77平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nv5TSlppH_1.jpg.296x216.jpg
20201223,长宁,北新泾,北新泾地铁口   钥匙房 随时可看,850万,3室1厅 | 125.56平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MbhcuTsuB_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯一户全明户型，中间楼层淞虹路站口房主自荐,858万,4室1厅 | 146.21平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ssqnL3XsF_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装一房，通风采光俱价，小区改造过环境好房主自荐,295万,1室1厅 | 48.81平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DobswCGH7_1.jpg.296x216.jpg
20201223,长宁,北新泾,全明一房，视野开阔，采光充足，交通便利，诚意出售。,275万,1室1厅 | 56.84平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DWfq1K2ng_1.jpg.296x216.jpg
20201223,长宁,北新泾,邻百联西郊，户型正气，中间楼层，采光佳，诚意出售房主自荐,328万,1室1厅 | 51.62平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y9XY75i72_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁，大一房，采光通风好，视野佳，业主诚意出售房主自荐,250万,1室1厅 | 48.18平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wrciZlUb2_1.jpg.296x216.jpg
20201223,长宁,北新泾,急售！2号线淞虹路地铁口460米，光大安石商场在建！房主自荐,280万,1室1厅 | 47.48平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EVNJf4dC9_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修电梯房，一房一厅。近地铁，近公园，小区好房主自荐,345万,1室1厅 | 59.16平米 | 南 | 精装 | 中楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Od62QxLqK_1.jpg.296x216.jpg
20201223,长宁,北新泾,新上双南笋盘满五年唯一精装修视野好,380万,2室1厅 | 66.77平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vlv6IDIxn_1.jpg.296x216.jpg
20201223,长宁,北新泾,中间楼层，边套全明户型，采光通风好，位置佳,335万,1室1厅 | 54.62平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Emfp0uKbg_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁 一梯两户  中间楼层  视野好 采光足,318万,1室1厅 | 53.43平米 | 南 | 其他 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nv4esBMWu_1.jpg.296x216.jpg
20201223,长宁,北新泾,紫竹很好的户型，满二唯一，客厅带阳台，全明户型房主自荐,282万,1室1厅 | 48.6平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qGTE8rNrU_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户的一房户型，精装修，采光好,242万,1室1厅 | 45.51平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OlmcU0tXI_1.jpg.296x216.jpg
20201223,长宁,北新泾,淞虹路站口，配套齐全，精品小区中间位置不靠马路,300万,1室1厅 | 50.04平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rw4e1ZomQ_1.jpg.296x216.jpg
20201223,长宁,北新泾,电梯房，小区中间位置，售后公房，满五年，产权清晰房主自荐,335万,1室1厅 | 63.45平米 | 南 | 简装 | 低楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_1ugFUTSW7_1.jpg.296x216.jpg
20201223,长宁,北新泾,电梯房，全明户型方正，税费少，得房率高，,350万,1室1厅 | 54.31平米 | 南 | 简装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_00gRiY7Ta_1.jpg.296x216.jpg
20201223,长宁,北新泾,此房满五唯一，税费少，高楼层，采光好，产权清晰,255万,2室0厅 | 46.79平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HBuM8t9hS_1.jpg.296x216.jpg
20201223,长宁,北新泾,北新泾地铁300米，一梯两户全明客厅大阳台房主自荐,279万,1室1厅 | 50.09平米 | 南 西 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gATJuIgRu_1.jpg.296x216.jpg
20201223,长宁,北新泾,小户型，价格划算，精装修，可拎包入住，业主诚售房主自荐,213万,1室1厅 | 36.17平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BleMvdNyR_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，税费少，楼层好，视野开阔，配套设施齐全房主自荐,278万,2室0厅 | 46.79平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tzHlS3OeB_1.jpg.296x216.jpg
20201223,长宁,北新泾,15年全新装修，边套全明，南北通，满五唯一，近地铁房主自荐,300万,2室1厅 | 52.3平米 | 南 | 精装 | 中楼层(共5层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7JPntb6pY_1.jpg.296x216.jpg
20201223,长宁,北新泾,动迁房不唯一，税费少，不靠马路，全明户型，一梯两户,260万,1室1厅 | 50.55平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r23GEEMEN_1.jpg.296x216.jpg
20201223,长宁,北新泾,业主急售，优质一房，小区中间位置,230万,1室1厅 | 45.94平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1KNLTY4vK_1.jpg.296x216.jpg
20201223,长宁,北新泾,邻百联西郊，户型正气，高区采光好，诚意出售,330万,1室1厅 | 51.39平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M0JJcj2CT_1.jpg.296x216.jpg
20201223,长宁,北新泾,必看房源，低楼层，无遮拦，边套全明，带露台房主自荐,239万,1室1厅 | 38.48平米 | 南 | 简装 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2kd1nhgTh_1.jpg.296x216.jpg
20201223,长宁,北新泾,2001年房龄，南北通户型，精装修，诚意出售。房主自荐,325万,1室1厅 | 51.22平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uPef3jLV9_1.jpg.296x216.jpg
20201223,长宁,北新泾,诚心急售，全明通风，小区中间，无遮挡，税少房主自荐,243.9万,1室1厅 | 49.53平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_axZpg2Xof_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐 优选房源 全新精装修 边套明亮房型,249万,2室1厅 | 48.74平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e2RTGu0tK_1.jpg.296x216.jpg
20201223,长宁,北新泾,本房满五唯一，非顶楼，总价低，通风好，精品小区。,290万,1室1厅 | 59.16平米 | 南 | 简装 | 低楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_L5ItZJMmQ_1.jpg.296x216.jpg
20201223,长宁,北新泾,链家推荐 精装南北两房 边套全明 前后无遮挡房主自荐,358万,2室1厅 | 59.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CkLigHkJd_1.jpg.296x216.jpg
20201223,长宁,北新泾,此房满五唯一  全明两房     南北比较通透   看房方便,458万,2室1厅 | 83.12平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b4Fuq6P77_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户视野开阔 房子南面是一条活水河道,335万,2室1厅 | 60.76平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jcey35EpB_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁，楼层好，95年房龄，满五唯一，总价低新上,205万,1室0厅 | 33.96平米 | 南 | 简装 | 中楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8W7W8SQWk_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁，全明户型，装修好，采光好，急售！,235万,1室1厅 | 44.23平米 | 南 北 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TPqDSC0Yj_1.jpg.296x216.jpg
20201223,长宁,北新泾,双南两房带阳台，一梯三户，楼层好，近地铁，诚意卖房主自荐,394万,2室2厅 | 79.04平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-040d0077-dfbe-4fd0-8320-3f0f083b9090.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一，双卧朝南，采光好，业主诚意，看房方便。房主自荐,305万,2室1厅 | 57.53平米 | 南 | 精装 | 高楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P9yXFw6Ar_1.jpg.296x216.jpg
20201223,长宁,北新泾,楼层高。房型正气。采光好。通风好。看房方便房主自荐,228万,1室1厅 | 48.74平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B7Nwnm21A_1.jpg.296x216.jpg
20201223,长宁,北新泾,三楼楼层好； 税费少；生活配套好,295万,1室1厅 | 55.1平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h2apO17aL_1.jpg.296x216.jpg
