20201223,宝山,共康,满五 楼层好 户型方正 可做普宅 配套齐全必看好房,308万,2室2厅 | 61.8平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e0cf859f-fd18-4519-8815-395205136036_1000.jpg.296x216.jpg
20201223,宝山,共康,2015年高品质次新小区+人车分流安静舒适+采光无遮挡必看好房,650万,3室2厅 | 109.39平米 | 南 | 精装 | 中楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f0618c8e-52cd-490c-890f-024d2366f6c1_1000.jpg.296x216.jpg
20201223,宝山,共康,一楼带花园，软硬装齐全，拎包入住，看房方便必看好房,245万,2室1厅 | 44.81平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x1eOGb2BA_1.jpg.296x216.jpg
20201223,宝山,共康,此房小区位置好，满五唯一，税费少，近地铁必看好房,605万,2室2厅 | 99.86平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IMv6y4ToA_2.jpg.296x216.jpg
20201223,宝山,共康,刚需户型 出行便利 旁边可上学 诚意售房 二手买进必看好房,448万,2室1厅 | 77.32平米 | 南 | 精装 | 低楼层(共10层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Fm9oGOGgy_1.jpg.296x216.jpg
20201223,宝山,共康,间距30米，视野开阔，满五唯一，原值高税费少，1梯2户必看好房,445万,2室2厅 | 84.51平米 | 南 北 | 精装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/75689cda-3da7-41bf-a666-3469ea10a2e4_1000.jpg.296x216.jpg
20201223,宝山,共康,格局好，采光充足，生活配套齐全，交通便利。必看好房,218万,1室1厅 | 52.91平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q0HEdB1gr.jpg.296x216.jpg
20201223,宝山,共康,少有南北双阳台，无遮挡，采光好，税费少，精装修房主自荐,760万,3室2厅 | 121.01平米 | 南 北 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/688a4794-8e7a-42e7-9304-45d40f0be51c_1000.jpg.296x216.jpg
20201223,宝山,共康,共康次新房，一手动迁，高区小户型电梯房，总价低。新上,255万,1室1厅 | 49.96平米 | 南 | 毛坯 | 高楼层(共14层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/95d62524-a377-4923-8c86-9802297c7c9a_1000.jpg.296x216.jpg
20201223,宝山,共康,小区中间位置，电梯房，二手买入，增值税少房主自荐,470万,2室2厅 | 86.55平米 | 南 北 | 简装 | 中楼层(共9层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UmQKTp654.jpg.296x216.jpg
20201223,宝山,共康,满五唯一，有钥匙，南北通透，呼兰路980米，视野辽阔房主自荐,495万,3室2厅 | 100.86平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_H87kKPSyA_1.jpg.296x216.jpg
20201223,宝山,共康,次新房小区+一手动迁+无增税无个税+毛坯房,430万,3室1厅 | 86.54平米 | 南 | 毛坯 | 低楼层(共13层)  | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_aeHSYf9cv_1.jpg.296x216.jpg
20201223,宝山,共康,共康八村 2室1厅 南新上,290万,2室1厅 | 63.01平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/27cab135-7d38-4c24-9b38-83c355c136ad_1000.jpg.296x216.jpg
20201223,宝山,共康,精装修，有车位，得房率高，诚意出售,350万,1室2厅 | 62.02平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f488f9ef-b0e9-4628-a152-32810d253898_1000.jpg.296x216.jpg
20201223,宝山,共康,品质小区 带花园 精装修 适合大家庭房主自荐,810万,5室2厅 | 188.93平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3BRRWshf1_2.jpg.296x216.jpg
20201223,宝山,共康,底楼复式可做三房 诚意出售价格可谈 看房方便价格可谈房主自荐,558万,3室2厅 | 141.57平米 | 南 | 精装 | 低楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-2e12205d-b44c-4682-8edb-0d04f93d0177.png.296x216.jpg
20201223,宝山,共康,高区电梯小三房+单价便宜总价低+无增值税,425万,3室1厅 | 87.62平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,http://image1.ljcdn.com/110000-inspection/9fa1f8fa-ccfe-4812-8ee4-019a7d28dddc_1000.jpg.296x216.jpg
20201223,宝山,共康,1号线+09年电梯房+高区+采光视野好+配套成熟+闹中取静,570万,2室2厅 | 84.71平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e660fd8c-8ee7-4209-9c63-9ae347244e1b_1000.jpg.296x216.jpg
20201223,宝山,共康,精品一房 总价低  近地铁 有露台  诚意出售,360万,1室1厅 | 47.55平米 | 南 | 简装 | 低楼层(共16层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5f1a1654-5993-4480-9445-c2da2dd3fa79_1000.jpg.296x216.jpg
20201223,宝山,共康,满五唯一税费少 刚需养老婚房皆适宜 不沿马路 诚意售,420万,2室1厅 | 63.77平米 | 南 | 简装 | 高楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bf0f27e5-55c7-45da-89b6-cc2a89e051fc_1000.jpg.296x216.jpg
20201223,宝山,共康,大三房，三代人居住，功能性强，私密性强房主自荐,718万,3室2厅 | 125.69平米 | 南 | 简装 | 低楼层(共22层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NbZtE969a_1.jpg.296x216.jpg
20201223,宝山,共康,得房率高，单价低，舒适温馨又有爱，这就是你想要的家房主自荐,534万,2室2厅 | 82.22平米 | 南 | 精装 | 低楼层(共16层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/db60f71d-b58e-45ca-a480-fd65e7580cce_1000.jpg.296x216.jpg
