20201223,杨浦,鞍山,靠河松鹤公园，精装房型南北通双阳台 ，出门地铁站必看好房,1150万,3室2厅 | 131.86平米 | 南 | 精装 | 中楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f1786df0-58fb-4e9b-b948-489c3c64550e.png.296x216.jpg
20201223,杨浦,鞍山,满五唯一，精装修，低楼层，出入方便，1992年原建房主自荐,190万,1室1厅 | 27.72平米 | 南 | 精装 | 低楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-24a57c4b-8ac1-4e42-bd98-262e2dce7e19.jpg.296x216.jpg
20201223,杨浦,鞍山,鞍山八村 2室1厅 南新上,470万,2室1厅 | 52.03平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q6W5KF7ma_1.jpg.296x216.jpg
20201223,杨浦,鞍山,双辽新村本弄 居家朝南一室半 厨卫全明 好楼层好采光房主自荐,275.4万,1室1厅 | 40.51平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-396a7465-74d6-4083-8a60-596a060a497e.jpg.296x216.jpg
20201223,杨浦,鞍山,价格美丽，阳光全天，业主诚售，产权清晰，看房方便！,1080万,3室2厅 | 129.39平米 | 南 西 北 | 简装 | 高楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vJxX6kKSX_1.jpg.296x216.jpg
20201223,杨浦,鞍山,密云96年房子+一梯三户+适合自住+未用,798万,2室1厅 | 85.5平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BWs0CGCdG_1.jpg.296x216.jpg
20201223,杨浦,鞍山,生活配套齐全+南北通风好+低层低总价+有附加储藏面积,280万,2室0厅 | 34.55平米 | 南 北 | 简装 | 中楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ddg71MEGr_1.jpg.296x216.jpg
20201223,杨浦,鞍山,南北两房，中间楼层，采光通风好房主自荐,500万,2室1厅 | 56平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5rGwirR2u_1.jpg.296x216.jpg
20201223,杨浦,鞍山,鞍山品质小区大三房露台车位打一满五唯一新上,1205万,3室2厅 | 133.64平米 | 南 | 精装 | 低楼层(共16层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WEJjkI9OE_1.jpg.296x216.jpg
20201223,杨浦,鞍山,满五年唯一，未用，东边套全明朝南一室半新上,465万,1室1厅 | 45.07平米 | 南 | 简装 | 低楼层(共18层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_0cX6vlVM5_1.jpg.296x216.jpg
20201223,杨浦,鞍山,打虎山路118弄+售后公房/满五唯一+一梯两户+产权清晰房主自荐,790万,4室1厅 | 106.99平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FOSn1yEYf_1.jpg.296x216.jpg
20201223,杨浦,鞍山,顶楼复式带阁楼，南北双花园，采光好，南北通房主自荐,768万,2室2厅 | 111平米 | 东南 南 | 精装 | 高楼层(共7层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NoJzQaZE6_1.jpg.296x216.jpg
20201223,杨浦,鞍山,精装电梯三房＋茗额未用自住装修＋高价入税费低＋满五,738万,3室1厅 | 114.19平米 | 南 | 精装 | 中楼层(共25层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wjZ7cVRMB_1.jpg.296x216.jpg
20201223,杨浦,鞍山,90年房龄，满五唯一，主卧朝南精装修。采光充足新上,485万,1室1厅 | 41.67平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mGp21W316_1.jpg.296x216.jpg
20201223,杨浦,鞍山,全明户型 ，采光好，地铁近，诚心出售,606万,2室1厅 | 58.71平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a1ad0330-18de-46c0-9b3d-174d6cc162b4.png.296x216.jpg
20201223,杨浦,鞍山,六复七带阁楼 南北向空气对流 次卧有挑高 阁楼开好窗,630万,3室2厅 | 81.82平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uNIbgSq3U_1.jpg.296x216.jpg
