20201223,杨浦,五角场,次新叠加别墅  有露台和车库 独用电梯 业主诚意出售房主自荐,2900万,6室2厅 | 367.52平米 | 南 | 简装 | 低楼层(共3层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NgPMYIouj_1.jpg.296x216.jpg
20201223,杨浦,五角场,大学路 次新电梯房 正气两房 近地铁站  一梯两户,1030万,2室2厅 | 125.39平米 | 南 北 | 精装 | 中楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UoL7yJpEN_1.jpg.296x216.jpg
20201223,杨浦,五角场,三南一北  客厅朝南，售后公房，免增值税。房主自荐,960万,4室2厅 | 142.98平米 | 南 | 简装 | 低楼层(共9层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r0Zrq76vq_1.jpg.296x216.jpg
20201223,杨浦,五角场,铁路新村(杨浦) 1室0厅 南新上,220万,1室0厅 | 36.87平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cfkabQWn4_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一+次新房+少见三房+双轨覆盖,770万,3室2厅 | 110.46平米 | 南 | 毛坯 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tqVfIjnnk_1.jpg.296x216.jpg
20201223,杨浦,五角场,政立小区 2室1厅 南 北,560万,2室1厅 | 79.69平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CtXR1XVZY_1.jpg.296x216.jpg
20201223,杨浦,五角场,中间楼层 产权清晰 交通便利 采光佳新上,250万,1室1厅 | 36.87平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vmk41V4I7.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，楼层好，配套齐全，采光足,765万,3室2厅 | 111.8平米 | 南 | 简装 | 23层 | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_hqzdqr8a6_1.jpg.296x216.jpg
20201223,杨浦,五角场,靠吉浦河大三房，户型正气+交通便利+五角场商圈房主自荐,1050万,3室2厅 | 134.68平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qFbHbAhHE_1.jpg.296x216.jpg
20201223,杨浦,五角场,财大精装修小两房，户型方正，采光好。房主自荐,317万,2室1厅 | 47.66平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o59PFLYdq_1.jpg.296x216.jpg
20201223,杨浦,五角场,电梯中楼层，采光好无遮挡+看房方便房主自荐,730万,2室2厅 | 97.81平米 | 东 南 西 | 简装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K9jVGmJ8R_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场商圈电梯房，房型方正，采光通风佳，看房方便,760万,3室2厅 | 136.1平米 | 东南 | 简装 | 低楼层(共28层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/f5a162f9-0b19-4a40-9e58-38c70acd61e6_1000.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道十次新小区十配套完善+满五唯一税少房主自荐,440万,2室1厅 | 61.92平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XaDB7XMLM.jpg.296x216.jpg
20201223,杨浦,五角场,双南户型 户型方正 产权清晰 交通便利房主自荐,375万,2室1厅 | 54.91平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l1S95vSCf_1.jpg.296x216.jpg
20201223,杨浦,五角场,建新小区 2室1厅 南,360万,2室1厅 | 58.05平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ybEfEESKU_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场中间楼层1居，双轨交通，中间楼层,209万,1室1厅 | 37.92平米 | 南 | 简装 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vnQk1CKQK_1.jpg.296x216.jpg
20201223,杨浦,五角场,1998年房龄+交通便利+配套成熟+商圈发达+管理完善,243万,1室1厅 | 44.72平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ho4b4Fwws_1.jpg.296x216.jpg
20201223,杨浦,五角场,东边套全明两房，看房方便，有车位,898万,2室2厅 | 109.57平米 | 南 | 简装 | 高楼层(共9层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_umvfbRSvo_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场商圈+次新小区+近地铁+采光佳+精装拎包入住房主自荐,365万,1室1厅 | 52.8平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r4BbWt1Np.jpg.296x216.jpg
20201223,杨浦,五角场,铁路新村(杨浦) 2室1厅 南新上,435万,2室1厅 | 60.58平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lqWESpTsk_1.jpg.296x216.jpg
20201223,杨浦,五角场,新调价+优选房源+一梯四户+1998年房龄+不靠马路,455万,3室1厅 | 82.14平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CA4dZagla.jpg.296x216.jpg
20201223,杨浦,五角场,罕见户型，户型方正，南北通风，近地铁，低总价小三房,440万,3室1厅 | 71.14平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Iv6wl6Rti.jpg.296x216.jpg
20201223,杨浦,五角场,通透两房，采光哇噻，税费少，位置安静,425万,2室1厅 | 66.25平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NHvb2auK1_1.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房，满五唯一，业主诚意出售，双南房型正气！,323万,2室1厅 | 49.79平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_hQwt0mv1s_1.jpg.296x216.jpg
