20201223,宝山,张庙,满五唯一!小区改建电梯优先！总价单价低！拎包入住必看好房,170万,1室1厅 | 42.95平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TwM5wInfp_1.jpg.296x216.jpg
20201223,宝山,张庙,小户型 低总价 中间楼层 采光通风佳  配套成熟必看好房,155万,1室0厅 | 29.5平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/af718158-98c3-442b-b22a-f832bd4275a7_1000.jpg.296x216.jpg
20201223,宝山,张庙,满五年唯一，双南全明户型，上下楼方便，看房方便。必看好房,250万,2室1厅 | 55.65平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-f090b9cb-1e0f-4ba5-8d0b-6ddc980942c4.png.296x216.jpg
20201223,宝山,张庙,全年龄段人群都适合的好房子，房东诚意出售！！！必看好房,180万,1室1厅 | 41.32平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8w2ReRlwL.jpg.296x216.jpg
20201223,宝山,张庙,链家优选，满五唯一，视野好，双南户型必看好房,240万,2室1厅 | 57平米 | 南 北 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/50bbfa33-a383-4cb2-a8c4-c8ea594c9281.png.296x216.jpg
20201223,宝山,张庙,共康站万达旁 拎包入住 全明户型 南北通税费少房主自荐,410万,2室1厅 | 90.13平米 | 南 北 | 简装 | 低楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_GFEnsEwiu_1.jpg.296x216.jpg
20201223,宝山,张庙,双南两房，满五唯一，采光，通风好新上,310万,2室1厅 | 57.24平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VQ5fIMscU_1.jpg.296x216.jpg
20201223,宝山,张庙,好房来袭，非顶楼，满五唯一，你值得拥有！新上,450万,2室2厅 | 85.22平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zT4hlraiv_1.jpg.296x216.jpg
20201223,宝山,张庙,2001年梦家园电梯房，一梯两户，看房方便，诚意出售新上,530万,2室2厅 | 106.89平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8kAfw3AXI_1.jpg.296x216.jpg
20201223,宝山,张庙,近万达！非顶楼，钥匙房，错层南北两房，采光佳，急售房主自荐,490万,2室2厅 | 93.8平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zwu2PDsMv_1.jpg.296x216.jpg
20201223,宝山,张庙,满五唯一精装修拎包入住，中间楼层，户型方正房主自荐,415万,2室1厅 | 79.33平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HrSc4BA7U_1.jpg.296x216.jpg
20201223,宝山,张庙,岭南翠庭 3室2厅 南房主自荐,660万,3室2厅 | 120.7平米 | 南 | 简装 | 高楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7ODpbM4RA_1.jpg.296x216.jpg
20201223,宝山,张庙,全明两房，小区内位置好，装修好，可拎包，欢迎咨询,430万,2室2厅 | 74.42平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rghzj4ADc_1.jpg.296x216.jpg
20201223,宝山,张庙,顶楼平顶复式此房看房有钥匙，近地铁，实际利用面积多房主自荐,575万,3室3厅 | 95.77平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bccf885e-93bd-4840-9270-d845222cb13e_1000.jpg.296x216.jpg
20201223,宝山,张庙,富浩花苑 南北大两房  房子买入价高增值税低！新上,415万,2室2厅 | 90.46平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6f746e3d-4d7d-4dab-a2e2-e0bfa40c3d5c_1000.jpg.296x216.jpg
20201223,宝山,张庙,南北小两房+中装修+采光视野好新上,185万,2室0厅 | 48.01平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BKIJkPPtY_1.jpg.296x216.jpg
20201223,宝山,张庙,精装修，满五税少位置好，南北户型诚售非顶楼新上,430万,2室2厅 | 75.68平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ld9cicZgK_1.jpg.296x216.jpg
20201223,宝山,张庙,精装修双南2房，可以拎包住；边套户型，明亮；非顶楼,280万,2室1厅 | 60.36平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eruRJGRGm_1.jpg.296x216.jpg
20201223,宝山,张庙,满五年唯一 双南全明户型 精装修可拎包入住,265万,2室1厅 | 54.04平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HLuttVNfc_1.jpg.296x216.jpg
20201223,宝山,张庙,急售，大平层四房，南北全明双卫，高楼层采光视野好，,675万,4室2厅 | 150.82平米 | 南 | 毛坯 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e9a151f4-bbc1-4405-b8c9-7bfefc0aa2bb_1000.jpg.296x216.jpg
