20201223,闵行,静安新城,静安新城飞机户型商品三房，小区栋王位置，价格可谈！,960万,3室2厅 | 121.08平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sluni8QAz_1.jpg.296x216.jpg
20201223,闵行,静安新城,小区中间位置，无遮挡，采光好，诚意出售  电梯复式,1050万,4室2厅 | 206.13平米 | 南 | 简装 | 低楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z6m4ZwdF9_1.jpg.296x216.jpg
20201223,闵行,静安新城,带露台，大上海经典户型，业主诚意出售,570万,3室2厅 | 100.02平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_mKO7nlwdj_1.jpg.296x216.jpg
20201223,闵行,静安新城,两年精装修 拎包入住 买进价格高 税费少 总价低房主自荐,538万,3室1厅 | 76.8平米 | 南 | 精装 | 低楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vi2dd6W0b_1.jpg.296x216.jpg
20201223,闵行,静安新城,静安新城一区 全明大一房 采光无遮挡 诚意出售房主自荐,355万,1室1厅 | 60.19平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xSVhzNziY_1.jpg.296x216.jpg
20201223,闵行,静安新城,双南向阳房 满五唯一低总价 全明户型华丽来袭房主自荐,431万,2室1厅 | 66.4平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_27rOn8Mbt_1.jpg.296x216.jpg
20201223,闵行,静安新城,南北户型，通风采光好，配套齐全，交通便利。,395万,2室1厅 | 66.16平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_WEOhd6f0j_1.jpg.296x216.jpg
20201223,闵行,静安新城,独栋别墅 花园400平左右 住别墅身份的象征 看房随时,2700万,5室4厅 | 313.1平米 | 南 | 简装 | 低楼层(共3层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hAO7WMxQR_1.jpg.296x216.jpg
20201223,闵行,静安新城,大上海别墅 地段好 花园位置 近地铁九号线 生活方便,1428万,4室3厅 | 272.66平米 | 东南 | 精装 | 低楼层(共4层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m5FtU9HKl_1.jpg.296x216.jpg
20201223,闵行,静安新城,双南户型，中间楼层采光好，小区后排位置安静,512万,2室1厅 | 77.43平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4zv63iEkR_1.jpg.296x216.jpg
20201223,闵行,静安新城,九歌上郡，精装小一房，看房方便，拎包入住房主自荐,372万,1室1厅 | 49.59平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h2ukbd5eg_1.jpg.296x216.jpg
20201223,闵行,静安新城,近9号线地铁站 商品房精装修可拎包入住满五年税费少房主自荐,378万,2室2厅 | 66.11平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fa6JAasoD_1.jpg.296x216.jpg
20201223,闵行,静安新城,红明一村+南北户型+唯一一套中间楼层+双地铁+看房方便,350万,2室1厅 | 61.39平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oJmzErN9Q_1.jpg.296x216.jpg
20201223,闵行,静安新城,大上海唯一一套楼层好的电梯两房，稀有，08年，房龄新,788万,2室2厅 | 99.64平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M0ihBr5AC_1.jpg.296x216.jpg
20201223,闵行,静安新城,电梯高区景观房，精装修+采光好+户型方正,395万,1室1厅 | 59.13平米 | 南 | 精装 | 高楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_smpDhnn6O_1.jpg.296x216.jpg
20201223,闵行,静安新城,户型正气！满五年唯一税少，3年上一套！房主自荐,900万,3室2厅 | 107.02平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AdWWNIPCu_1.jpg.296x216.jpg
20201223,闵行,静安新城,房龄新，正规两居室，客厅落地窗，南北通透，业主急售,640万,2室2厅 | 86.03平米 | 南 北 | 精装 | 低楼层(共13层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fhFw1zFvE_1.jpg.296x216.jpg
20201223,闵行,静安新城,精装修+东边套+南北两房+税费少+采光好新上,360万,2室1厅 | 61.48平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SruXWPA0X_1.jpg.296x216.jpg
20201223,闵行,静安新城,静安新城五区 1室1厅 南新上,330万,1室1厅 | 50.81平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rkBR37zCh_1.jpg.296x216.jpg
20201223,闵行,静安新城,静安新城四区 2室1厅 东南,500万,2室1厅 | 86.05平米 | 东南 | 精装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_PLAJwWdao_1.jpg.296x216.jpg
20201223,闵行,静安新城,三开间朝南户型，南北通透，业主诚意出售房主自荐,845万,2室2厅 | 106.29平米 | 南 北 | 简装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4YWdH8CM8_1.jpg.296x216.jpg
20201223,闵行,静安新城,一年百万家装 采光好视野好 一梯一户带12平入室花园房主自荐,1220万,3室2厅 | 136.84平米 | 南 | 精装 | 高楼层(共12层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sJ5esWjU1_1.jpg.296x216.jpg
20201223,闵行,静安新城,此房满五年唯一，商品房入住安静舒适，近小区大花园,550万,2室2厅 | 88.17平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QAJ2lmIP1_1.jpg.296x216.jpg
