20201223,长宁,镇宁路,近地铁，采光好，视野开阔，满五唯一，税费少，,305万,1室1厅 | 36.07平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dxqQVDEVd_1.jpg.296x216.jpg
20201223,长宁,镇宁路,此房满五年无增值税 视野开阔 眺望徐汇全景 业主诚意,370万,1室0厅 | 43.15平米 | 南 | 简装 | 中楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_jzqM2BCPw_1.jpg.296x216.jpg
20201223,长宁,镇宁路,精装修，总价低，近地铁，厨卫全明，采光好，看房方便房主自荐,292万,1室1厅 | 13.7平米 | 西 北 | 精装 | 低楼层(共3层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AyQePghXu_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路愚园路地铁电梯房，两房诚意出售,531万,2室1厅 | 68平米 | 西南 | 其他 | 高楼层(共14层) | 1990年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_rj6M5Jq4B_1.jpg.296x216.jpg
20201223,长宁,镇宁路,梧桐花园步行街！多层房子多电梯！5个套间！,6800万,5室2厅 | 436.63平米 | 南 | 简装 | 低楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_A3wlf4CXq_1.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路新出电梯大一房，适合改善自住，看房预约我房主自荐,437万,1室1厅 | 62.45平米 | 西南 西北 | 简装 | 低楼层(共13层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-d3a9ebc6-91f4-4c52-be67-917c072d6fcd.png.296x216.jpg
20201223,长宁,镇宁路,江苏路地铁站镇宁路板块大四房三面通透房主自荐,1040万,6室2厅 | 168.36平米 | 北 | 其他 | 中楼层(共25层) | 2000年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_BpCf5WlDw_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东诸安浜路75弄 南北二房 中层 采光无遮挡 近江苏地铁,420万,2室1厅 | 55.25平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-76235072-365b-46e2-ad34-b44306a9ab44.png.296x216.jpg
20201223,长宁,镇宁路,网红愚园路精美两房，倦鸟归巢，诗意民宿，欢迎您房主自荐,434.3万,2室1厅 | 49.49平米 | 南 北 | 精装 | 低楼层(共4层) | 1982年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170605/799c9b2d-c10b-4ff9-be25-81c863df7c41.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路东方剑桥，业主是我老客户，急售看房方便,2000万,4室2厅 | 183.52平米 | 暂无数据 | 精装 | 中楼层(共36层) | 2001年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20160103/3920c0b0-f440-46f9-b021-917e54fed3a4.jpg.296x216.jpg
20201223,长宁,镇宁路,文化底蕴浓厚，湖南路低密度大宅，法式花园，私密度高,5000万,4室2厅 | 277.42平米 | 南 | 精装 | 中楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171205/caec7d27-64e9-417c-8225-140251810434.jpg.296x216.jpg
20201223,长宁,镇宁路,湖南路3层边间叠加别墅，带室内电梯带车位露台30平。,3600万,4室2厅 | 221.68平米 | 南 | 精装 | 低楼层(共3层) | 2001年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160729/79ffc396-4fc1-4ce6-89b9-aa76fd6fd13f.jpg.296x216.jpg
20201223,长宁,镇宁路,四面临空花园洋房，带120平方花园弄堂整洁，带汽车间,4800万,7室0厅 | 220.2平米 | 东 南 西 北 | 简装 | 低楼层(共2层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/4a16d5aa-3550-49a9-8928-3f38f9ada13f.jpg.296x216.jpg
20201223,长宁,镇宁路,兴国路湖南路 正沿街双子座老洋房占地1280平 打包2.3E,7202.7万,5室3厅 | 226.1平米 | 东 南 西 北 | 简装 | 低楼层(共3层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/b833b516-ee56-4023-a280-deb34d7d20b8.jpg.296x216.jpg
20201223,长宁,镇宁路,高区房源+满五年+近地铁+配套齐全新上,700万,2室1厅 | 94.49平米 | 西 | 简装 | 高楼层(共24层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0b403977-dfe2-483d-b0f4-368c85704300.png.296x216.jpg
20201223,长宁,镇宁路,东方雅苑 2室2厅 南,1380万,2室2厅 | 123.67平米 | 南 | 精装 | 低楼层(共30层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d76e24f0926c0ed64838c376e85c820f-032.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路南北通大一房，户型方正，采光视野佳，业主诚售,315万,1室1厅 | 42.31平米 | 南 北 | 精装 | 高楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171127/328b2636-d40a-4128-a6bc-cc0023b9063b.jpg.296x216.jpg
20201223,长宁,镇宁路,泰安路漂亮弄堂  独栋四面临空 花园住宅,7280万,5室2厅 | 260.01平米 | 东 南 | 毛坯 | 低楼层(共3层) | 1947年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MUPDatXyS_1.jpg.296x216.jpg
20201223,长宁,镇宁路,此房满两年唯一  视野开阔 眺望徐家汇全景 业主诚意,360万,1室1厅 | 43.15平米 | 南 | 精装 | 低楼层(共26层) | 1995年建 | 塔楼,http://image1.ljcdn.com/x-se/shfdfs-image/20171211/eefb8f27-e03c-42b2-9dd4-6ec45b28e1d7.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路板朝南大四房，户型房子采光好,1139万,4室2厅 | 168.36平米 | 东南 南 | 精装 | 高楼层(共20层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/46ed5a00-42f8-4660-8948-1b94c635f56e.png.296x216.jpg
20201223,长宁,镇宁路,视野开阔，采光好，高楼层，户型方正,850万,2室2厅 | 97.88平米 | 南 | 其他 | 高楼层(共26层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/ba03f632-1134-4a3c-8073-b8a34d28d008.jpg.296x216.jpg
20201223,长宁,镇宁路,江五高品质小区，高区带车位，车位另算。,1496万,3室2厅 | 130.09平米 | 南 | 精装 | 高楼层(共37层) | 2001年建 | 塔楼,http://image1.ljcdn.com/x-se/shfdfs-image/20141203/f0164adf-25f0-4afa-b65d-33134226f941.jpg.296x216.jpg
20201223,长宁,镇宁路,衡复历史保护区   湖南路近兴国路带电梯小高层,1880万,2室1厅 | 145平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,
20201223,长宁,镇宁路,兴国路湖南路 正沿街双子座老洋房占地1280平 打包2.3E,2854.3万,3室2厅 | 89.6平米 | 东 南 西 北 | 精装 | 低楼层(共2层) | 1948年建 | 平房,
20201223,长宁,镇宁路,兴国路湖南路 正沿街双子座老洋房占地1280平 打包2.3E,12943.1万,5室3厅 | 406.3平米 | 东 南 西 北 | 精装 | 低楼层(共3层) | 1948年建 | 暂无数据,
20201223,长宁,镇宁路,此房位于昭化东路上面，地段好，装修好，总价低,380万,1室0厅 | 34.74平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,
20201223,长宁,镇宁路,高品质外销房，精装修、拎包入住、看房需要提前预约哦,1200万,3室2厅 | 142.39平米 | 南 | 精装 | 中楼层(共27层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/dd11a91f-67e5-4497-b2c3-02b0aaa20fd6.png.296x216.jpg
20201223,长宁,镇宁路,高区全南三房，带产权车位，视野采光无遮挡,1960万,3室2厅 | 153.26平米 | 南 | 精装 | 中楼层(共38层) | 2002年建 | 板塔结合,http://image1.ljcdn.com/x-se/shfdfs-image/20141203/bd111f6b-0133-496d-b3f9-960e4b81ae2d.jpg.296x216.jpg
20201223,长宁,镇宁路,嘉里华庭 3室2厅 东南,1680万,3室2厅 | 146.54平米 | 东南 | 精装 | 低楼层(共38层) | 2002年建 | 板塔结合,http://image1.ljcdn.com/x-se/hdic-frame/78B6604A97D44B1990963884E4B91C07___928df78ee6f479a7de8dbca0505ff393.jpeg.296x216.jpg
20201223,长宁,镇宁路,满五唯一，电梯两房，单价低，地段繁华,650万,2室1厅 | 74.23平米 | 南 | 精装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_16545681-eaf8-42d6-8071-5cabc61cf1cc.png.296x216.jpg
20201223,长宁,镇宁路,镇宁路465弄优质一房，中间楼层，户型方正，看房方便,270万,1室1厅 | 38.4平米 | 东 西 | 简装 | 中楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-30614550-bc02-4646-bc31-f1e011ad0baa.png.296x216.jpg
20201223,长宁,镇宁路,泰安路华山路+1994年品质公房+好楼层+近地铁,363.8万,1室1厅 | 34.64平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/16682d77-01c9-4781-9dc6-20c0619757af.png.296x216.jpg
20201223,长宁,镇宁路,94产权公房.东诸安浜路江苏路地铁.交通方便,270万,1室1厅 | 31.2平米 | 西北 | 精装 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oqMfyxFmv_1.jpg.296x216.jpg
20201223,长宁,镇宁路,华东化工大厦 3室1厅 西南,658万,3室1厅 | 80.63平米 | 西南 | 精装 | 高楼层(共15层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_4vViSdFSX_1.jpg.296x216.jpg
20201223,长宁,镇宁路,全明户型一房江苏路地铁站东诸安浜路江苏路房主自荐,295万,1室1厅 | 38.74平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-e86d1246-4d09-49c0-adac-6f7372797c4f.png.296x216.jpg
20201223,长宁,镇宁路,尚泰里 2室1厅 西 西南,880万,2室1厅 | 92.43平米 | 西 西南 | 精装 | 中楼层(共28层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_UH63Caudu_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东浜小区 1室0厅 南,300万,1室0厅 | 33.34平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tpgxRxpzU_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路地铁口，全明户型，带电梯,470万,2室1厅 | 64.7平米 | 西南 | 精装 | 高楼层(共15层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_y8YRsYM6T_1.jpg.296x216.jpg
20201223,长宁,镇宁路,王子晶品 4室2厅 南,2800万,4室2厅 | 288.73平米 | 南 | 精装 | 中楼层(共28层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1menSSn8V_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路499弄  二房一厅 江苏路地铁 看房方便,400万,2室1厅 | 52.38平米 | 南 北 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/713bdf7d-693e-43d8-ab58-11eec688fa49.jpg.296x216.jpg
20201223,长宁,镇宁路,北汪小区 2室1厅 南,490万,2室1厅 | 54.48平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f7b982cc-d374-4fcb-a470-03c7b4ca47d9.png.296x216.jpg
20201223,长宁,镇宁路,镇宁路545弄 5室2厅 南,1500万,5室2厅 | 364.77平米 | 南 | 其他 | 低楼层(共20层) | 1999年建 | 暂无数据,http://image1.ljcdn.com/x-se/hdic-frame/prod-88a7d0e0-9c65-446f-adc8-21dd80297b6d.png.296x216.jpg
