20201223,长宁,镇宁路,镇宁路板块四房，满五唯一，2/11号交轨，近静安寺,1110万,5室2厅 | 168.36平米 | 东 南 | 精装 | 低楼层(共20层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mquN5I8ng_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江五，边套南北通两房，厨卫全明，采光好，随时看房,473万,2室1厅 | 52.01平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MRfWFLMCH_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江五旁  华山路百年风华；看华山路花园洋房美景房主自荐,379万,1室1厅 | 41.52平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7fff85f7-74e1-4464-b7d3-05b49faa8a48_1000.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路地铁口 带会所三阳台 满五年唯一，诚意出售房主自荐,1258万,2室2厅 | 133.77平米 | 南 | 精装 | 低楼层(共38层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_wzLZCIY68_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江五旁，南北通2房，带阳台，总价低，有钥匙房主自荐,455万,2室1厅 | 54.74平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_rUMu7Emdf_1.jpg.296x216.jpg
20201223,长宁,镇宁路,南北通+近江苏路地铁+采光视野好,430万,2室1厅 | 58.44平米 | 南 北 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qwny5Y03u_1.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路465弄东边套全明两房，近地铁2号线，电梯房可看房主自荐,560万,2室1厅 | 69.01平米 | 东 东南 | 简装 | 中楼层(共13层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nYblrzy8H_1.jpg.296x216.jpg
20201223,长宁,镇宁路,这套房子是小区后排的三房 南北通 满五年唯一房主自荐,1360万,3室2厅 | 151.31平米 | 南 | 简装 | 低楼层(共21层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ca496985-ecff-4a09-b1f2-c4c1cbbff1c0.jpg.296x216.jpg
20201223,长宁,镇宁路,看嘉里华庭中庭花园，阳光充足，双南全明户型,490万,2室1厅 | 53.63平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-76f15eac-37cf-4a96-88e8-f3d01d9f27d6.jpg.296x216.jpg
20201223,长宁,镇宁路,两房朝南，南北通，无抵押，无户口，江⑤未用房主自荐,525万,2室1厅 | 53.63平米 | 南 北 | 简装 | 中楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/69789298-827e-42cc-a942-314b7fc53da2_1000.jpg.296x216.jpg
20201223,长宁,镇宁路,大平层全南4房，14平景观大阳台，览洋房美景，有车位,3800万,4室2厅 | 333.74平米 | 东南 南 | 精装 | 中楼层(共38层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_h3Q983XC2_1.jpg.296x216.jpg
20201223,长宁,镇宁路,延安西路548弄大一房，满五唯一，近地铁2、11号线。,270万,1室1厅 | 35.36平米 | 东 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tVf3SRWvP_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路愚园路三房全明边套户型业主诚意出售,950万,3室2厅 | 134.48平米 | 南 | 精装 | 中楼层(共24层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AyTDLJg2E_1.jpg.296x216.jpg
20201223,长宁,镇宁路,静安寺超低单价大平层，精致装修。五Star星酒店管理,2700万,4室2厅 | 288.73平米 | 东南 | 精装 | 低楼层(共28层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZLiOz6HS4_1.jpg.296x216.jpg
20201223,长宁,镇宁路,急售、镇宁路稀有电梯中层大四房，三面通透得房率高房主自荐,1040万,4室2厅 | 168.36平米 | 西南 | 简装 | 中楼层(共20层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HxL141si0_1.jpg.296x216.jpg
20201223,长宁,镇宁路,昭化东路曹家堰路，低总价，步行到江 五200米,419万,1室1厅 | 41.88平米 | 东南 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_VzDxzUCYQ_1.jpg.296x216.jpg
20201223,长宁,镇宁路,正对丁香绿地，看武康路洋房，听鸟语花香,635万,2室1厅 | 74.95平米 | 东南 | 精装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NcUaDlZNE_1.jpg.296x216.jpg
20201223,长宁,镇宁路,此房满五年唯一，没有增值税，精装修房，全明户型！房主自荐,440万,1室1厅 | 50.97平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L47kxa7Nr_1.jpg.296x216.jpg
20201223,长宁,镇宁路,南北通，边套全明户型，精装修，楼层好,420万,1室2厅 | 44.91平米 | 南 西 北 | 精装 | 中楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vZz5dAxBZ_1.jpg.296x216.jpg
20201223,长宁,镇宁路,满五年不唯一，朝南两房。交通便利，看房方便。,530万,2室1厅 | 62.33平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_efrIQNpXu_1.jpg.296x216.jpg
20201223,长宁,镇宁路,老市区90年新工房，准电梯房，高区采光无遮挡，精装房主自荐,380万,1室1厅 | 40.65平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o8BRFAxw4_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东诸安浜路大两房，近地铁2、11号线，,432万,2室1厅 | 53.72平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D7jPdGrS8_1.jpg.296x216.jpg
20201223,长宁,镇宁路,曹家堰路全南两房，采光充足，视野开阔，正看洋房景观,450万,2室0厅 | 50.4平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9CsC0SLNO_1.jpg.296x216.jpg
