20201223,杨浦,控江路,图们路20弄 2室1厅 南新上,465万,2室1厅 | 69.23平米 | 南 | 毛坯 | 低楼层(共6层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WcOBvXTzI_1.jpg.296x216.jpg
20201223,杨浦,控江路,杨浦低总价复式，满五唯一，让您的孩子赢在起跑线上房主自荐,535万,3室2厅 | 64.41平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_pMkKjBPhT_1.jpg.296x216.jpg
20201223,杨浦,控江路,就在这里！内环内您要的大复式 精装自住附50平露台,1650万,4室2厅 | 200.87平米 | 南 北 | 精装 | 高楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bQYcyZuDl_1.jpg.296x216.jpg
20201223,杨浦,控江路,凤五精装两房！有钥匙，方便看！房主自荐,380万,2室1厅 | 52.12平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xlHYTtgIw_1.jpg.296x216.jpg
20201223,杨浦,控江路,内环内 全明边套南北户型 配套成熟 生活出行便利房主自荐,420万,2室1厅 | 67.08平米 | 东 东南 北 | 简装 | 中楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z9CnnYlcH_1.jpg.296x216.jpg
20201223,杨浦,控江路,近内江公园，配套医院，8号线延吉中路地铁站,350万,2室1厅 | 50.24平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/88c2eb0a-9b0a-48f5-b6f7-61a1c5d15264_1000.jpg.296x216.jpg
20201223,杨浦,控江路,近地铁精装修三房复式+小区花园位置 +落地窗视野宽阔,715万,3室2厅 | 126.23平米 | 南 | 精装 | 高楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/31c3484d-d097-4d90-80c7-d41de1fecddc_1000.jpg.296x216.jpg
20201223,杨浦,控江路,东方名园 中内环之间 地段好 南北通透板户型 交通方便,1250万,3室2厅 | 129.92平米 | 南 北 | 精装 | 中楼层(共16层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/78bcf0f9-9aac-41e7-864b-05b49967a3bb_1000.jpg.296x216.jpg
20201223,杨浦,控江路,顶楼复式，北露台，使用面积大，满五唯一，看房方便房主自荐,699万,3室2厅 | 153.94平米 | 南 | 简装 | 高楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bITGPwCMI_1.jpg.296x216.jpg
20201223,杨浦,控江路,控江路1200弄 2室1厅 南 北,545万,2室1厅 | 75.31平米 | 南 北 | 简装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2PlMdT5MC_1.jpg.296x216.jpg
20201223,杨浦,控江路,凤城三村+满五唯一+诚意出售+看房随时+采光好房主自荐,250万,1室1厅 | 39.7平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqDGebsXa_1.jpg.296x216.jpg
20201223,杨浦,控江路,黄兴路1019弄+楼层好+内环内+业主诚意出售+看房随时,200万,1室0厅 | 37平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-69635fbd-50aa-404f-b764-53a854d390c0.jpg.296x216.jpg
