20201223,黄浦,董家渡,4/9号线双轨沿线+董家渡金融城+维护人议价下调,845万,2室2厅 | 99.75平米 | 南 | 精装 | 低楼层(共30层) | 2001年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20160416/bb83219e-2503-46ec-9897-c05ba3cfaa7f.jpg.296x216.jpg
20201223,黄浦,董家渡,15年次新房，高楼层包含产权车位，两梯一户，视野好,2040万,3室2厅 | 154.69平米 | 南 | 精装 | 中楼层(共35层) | 2015年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170414/434114e2-329c-458f-9ec1-89f45702110d.jpg.296x216.jpg
20201223,黄浦,董家渡,精装南北直通大三房采光无遮挡业主诚意出售,1090万,3室2厅 | 122.77平米 | 南 北 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170226/7fc84044-d59f-4a11-8cb5-2b3e8e090b5e.jpg.296x216.jpg
20201223,黄浦,董家渡,2011年次新房+带产权车位70万+南北通透无挡+地铁沿线,1380万,3室2厅 | 124.74平米 | 北 南 | 毛坯 | 高楼层(共33层) | 2011年建 | 板楼,
20201223,黄浦,董家渡,薛家浜路242弄 1室1厅 南新上,530万,1室1厅 | 46.42平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/d5875620-3d47-4f96-931c-a1dbdffcfb87.jpg.296x216.jpg
20201223,黄浦,董家渡,阳光翠竹苑 4室2厅 南,900万,4室2厅 | 114.28平米 | 南 | 简装 | 低楼层(共33层) | 2004年建 | 板楼,
20201223,黄浦,董家渡,4号线南浦大桥+9号线小南门+低总价+诚心出售,574万,3室2厅 | 156.97平米 | 南 | 简装 | 低楼层(共32层) | 2001年建 | 塔楼,
20201223,黄浦,董家渡,本房位于中间排，位置佳，中高层，户型方正，得房率高,948万,2室2厅 | 99.79平米 | 南 | 精装 | 高楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/cf380f01-231f-477e-8295-65ba44f9f75e.png.296x216.jpg
20201223,黄浦,董家渡,董家渡金融城旁，交通方便，业主诚意出售,1180万,3室2厅 | 149.82平米 | 东南 | 简装 | 低楼层(共34层) | 2001年建 | 塔楼,
20201223,黄浦,董家渡,满五唯一含车位精装南北直通3房，全明户型日照充足,1338万,3室2厅 | 120.88平米 | 南 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/60bc3c91-0e3c-4619-9b8d-56a88c531aee.png.296x216.jpg
20201223,黄浦,董家渡,南浦大桥景观，4,9号双轨覆盖，南北通透，金融城地段,1198万,2室2厅 | 127.8平米 | 南 北 | 精装 | 高楼层(共31层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/62df5f39-20b3-4080-afb2-f6aa64907887_1000.jpg.296x216.jpg
20201223,黄浦,董家渡,长峰馨园 2室2厅 南 北,1050万,2室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共34层) | 2006年建 | 板塔结合,http://image1.ljcdn.com/x-se/shfdfs-image/2014/0528/DE3DD3BEB6F54B9F975E4CA4D1129AF0.jpg.296x216.jpg
