20201223,宝山,淞宝,满五唯一房龄新，配套成熟，采光好，通风佳，交通方便,216万,2室1厅 | 54.95平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_amF8cq1NM.jpg.296x216.jpg
20201223,宝山,淞宝,宝钢三村 低楼层 南北全明两房 近地铁 生活出行都方便,262万,2室1厅 | 51.72平米 | 南 北 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fngca4Ne9.jpg.296x216.jpg
20201223,宝山,淞宝,次新房，房型正气，布局合理。小区环境优美房主自荐,670万,3室2厅 | 129.01平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7ul1G2K5H.jpg.296x216.jpg
20201223,宝山,淞宝,优！永清新村 三室一厅 位置好 楼层佳 配套齐全房主自荐,310万,3室1厅 | 71.01平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a5jXq4z1g.jpg.296x216.jpg
20201223,宝山,淞宝,售后公房，满五年唯一，三个阳台，简单装修新上,325万,2室1厅 | 90.57平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-1fc83f84-5618-4260-bbf1-1b9faeb71474.png.296x216.jpg
20201223,宝山,淞宝,房子满五年唯一，双南两房，简单装修新上,180万,2室1厅 | 46.03平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f6ZuQUUPU_1.jpg.296x216.jpg
20201223,宝山,淞宝,宝山三村售后公房满五唯一中间楼层,290万,2室1厅 | 58.38平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yMRkuo0U3.jpg.296x216.jpg
20201223,宝山,淞宝,密山二村（西区）满四年 简装 高楼层采光好 交通便利房主自荐,155万,1室1厅 | 35.65平米 | 东南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FrBFySx6k.jpg.296x216.jpg
20201223,宝山,淞宝,永清新村 简装一室一厅  满五唯一 诚意出售房主自荐,149万,1室1厅 | 43.4平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_un6jr5Gbr.jpg.296x216.jpg
20201223,宝山,淞宝,海滨五村 2室1厅 南,250万,2室1厅 | 57.78平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_4i3lQgq6y.jpg.296x216.jpg
20201223,宝山,淞宝,售后唯一，诚意置换，不靠马路，陪读方便房主自荐,310万,2室1厅 | 70.29平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HbSWsTklB.jpg.296x216.jpg
20201223,宝山,淞宝,装修好，拎包入住，交通便利，东边套采光充足房主自荐,225万,2室1厅 | 57.82平米 | 东南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eRiXw3yPy.jpg.296x216.jpg
20201223,宝山,淞宝,下楼就是花园，房型正气，有平改坡，不吵不热房主自荐,155万,1室1厅 | 41.95平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ossr5yKCB.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五年唯一，一梯四户 ，南北户型 总价低房主自荐,235万,2室1厅 | 61.6平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gub7qJPz9.jpg.296x216.jpg
20201223,宝山,淞宝,一室半户改大一室满5年 精装修靠地铁三号线近房主自荐,178万,1室1厅 | 47.78平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UMqkMbCli.jpg.296x216.jpg
20201223,宝山,淞宝,满五唯一，边套全明户型，中间楼层，近地铁房主自荐,157万,1室1厅 | 40.12平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HtjcXFKwy.jpg.296x216.jpg
20201223,宝山,淞宝,精装拎包住，次顶层采光好，诚心出售，水产路地铁1km,165万,1室1厅 | 40.06平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C95a69IcG.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五年唯一两房近地铁视野好采光好房主自荐,220万,2室1厅 | 56.69平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dFy97hGJr.jpg.296x216.jpg
20201223,宝山,淞宝,满五唯一，近地铁，采光充足，生活配套齐全房主自荐,178万,2室1厅 | 51.11平米 | 南 北 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e4V09aYVu_1.jpg.296x216.jpg
20201223,宝山,淞宝,精装修双南两房，全明户型，房型正气。房主自荐,225万,2室1厅 | 51.9平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_slH1NrdzV.jpg.296x216.jpg
20201223,宝山,淞宝,全明户型，宜居一房，低楼层，总价低,205万,1室1厅 | 50.76平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MNUnPtsmq.jpg.296x216.jpg
20201223,宝山,淞宝,宝钢一村 户型正气 采光充足 全明户型,355万,2室1厅 | 50.11平米 | 南 北 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vszYweNNl_1.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五唯一，中间楼层，视野开阔房主自荐,170万,1室1厅 | 43.39平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AlYOtRPMY.jpg.296x216.jpg
20201223,宝山,淞宝,双南二房  全明户型 楼层好 房型正气房主自荐,380万,2室1厅 | 73.38平米 | 南 | 其他 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Kl8QPCpV.jpg.296x216.jpg
20201223,宝山,淞宝,一梯两户，全明户型，自住看房方便，诚心出售,270万,2室1厅 | 58.38平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qH9bjpIII.jpg.296x216.jpg
20201223,宝山,淞宝,楼层好位置佳，户型通透，无遮挡采光好，业主诚心售房,232万,2室1厅 | 56.75平米 | 南 北 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WAJ9EFRMk.jpg.296x216.jpg
20201223,宝山,淞宝,双南两房格局 中间楼层 视野开阔 交通方便 配套齐全房主自荐,307万,2室1厅 | 66.42平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0oKpIo6S2.jpg.296x216.jpg
20201223,宝山,淞宝,全明通透，格局规整，同户型少，楼层好，位置安静,340万,2室1厅 | 79.6平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IcL1Ahi6e_1.jpg.296x216.jpg
20201223,宝山,淞宝,双南两居室格局 方厅 厨卫敞亮 诚意出售 方便看房 ！,300万,2室1厅 | 65.19平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PftvkB1Gc_1.jpg.296x216.jpg
20201223,宝山,淞宝,全明户型，业主诚心出售，到价可签字，看房方便,240万,2室1厅 | 51.19平米 | 西南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kXpye0Zht.jpg.296x216.jpg
20201223,宝山,淞宝,宝山三村边套一梯2户南北全明户型,259万,2室1厅 | 52.9平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GZKuj1DPA.jpg.296x216.jpg
20201223,宝山,淞宝,宝钢一村 南北全明俩房 采光好 配套成熟,350万,2室1厅 | 50.12平米 | 南 北 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pzwkVa7JM.jpg.296x216.jpg
20201223,宝山,淞宝,四房两卫，动静分离，满五唯一，少有户型，加装电梯,617万,4室2厅 | 126.01平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZOISzJzGE.jpg.296x216.jpg
20201223,宝山,淞宝,满五不唯一，房屋的总价低，近地铁，出行方便房主自荐,107万,1室0厅 | 32.73平米 | 北 | 简装 | 低楼层(共4层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eGWbQKdzx_1.jpg.296x216.jpg
20201223,宝山,淞宝,南北通透 楼层好 简单装修 满5年唯一 一梯两户房主自荐,310万,3室1厅 | 68.97平米 | 南 北 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1oeALs6wd.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五唯一，经典小三房，精装修，房型方正不是顶楼房主自荐,350万,3室1厅 | 72.43平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dbqya5nA9.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五年唯一两房近地铁视野好采光好房主自荐,172万,2室0厅 | 49.03平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Gsq3JAvks.jpg.296x216.jpg
