20201223,普陀,甘泉宜川,满五唯一，税少，房屋朝南，采光和通风好必看好房,185万,1室0厅 | 38.96平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3MYTxoFLO_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,低楼层 带大露台 双南两房 交通便利 近地铁必看好房,265万,2室0厅 | 46.34平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1g6Hlk98I_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,精装修朝南一室户 随时看房 房型好必看好房,178万,1室0厅 | 33.9平米 | 南 | 精装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zt7mWRmge_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,南北通户型 客厅有窗户 楼层好 视野佳 业主诚意出售必看好房,330万,2室1厅 | 53.38平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mfYLPxgiu_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,双南两房+干湿分离+婚房装修+楼层低+南北通风必看好房,288万,2室0厅 | 52.23平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s18mMF8Gm_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁  总价低  一室一厅 中高楼层  采光充足必看好房,195万,1室1厅 | 41.71平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_P2IXxSICZ_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,欧式风格复式户型，附带有南北两个大露台,950万,6室2厅 | 211.78平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dfc0ba9d-2f8b-4239-b109-535bedcaae88_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,品质小区，中间楼层，出入方便。简单装修，业主诚售,220万,1室1厅 | 41.21平米 | 南 | 简装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-0715781c-6330-4c36-b075-0663546d6b84.png.296x216.jpg
20201223,普陀,甘泉宜川,内环边上，中楼层，精装修，品质小区，看房方便,195万,1室0厅 | 33.12平米 | 南 | 精装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e7T1FF4hS_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,品质小区，中间楼层，南北通风，采光充足，配套设施齐,235万,1室1厅 | 41.09平米 | 南 | 毛坯 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f36de5db-6007-4b48-9e4c-fcbc7cf0c110_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,此房满五年，南北通格局，视野宽阔采光充足配套齐全新上,290万,2室1厅 | 55.07平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_keiuFKjqA_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,安塞小区 2室1厅 南,295万,2室1厅 | 54.15平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Eeyt5tope_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,高楼层南北两房，视野开通，通风采光好房主自荐,252万,2室1厅 | 46.9平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GMEu5Eo0a_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,边套全明一室一厅，精装修，小区环境很棒。,245万,1室1厅 | 41.24平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aTXCxpWfC_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,两房朝南，客厅朝南，售后公房，没有增值税房主自荐,455万,3室1厅 | 83.68平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ec934130-f2fc-4cd5-b3fa-1109d7c0ded3.jpg.296x216.jpg
20201223,普陀,甘泉宜川,新村路地铁口 非顶楼边套全明 精装修 满五唯一,285万,2室1厅 | 55.82平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YQLmnQQCc_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,宜川高品质小区 飞机户型 光线耀眼房主自荐,690万,2室2厅 | 105.76平米 | 南 | 简装 | 低楼层(共22层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Oio2oKlCq_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,边套三房全明、两房朝南、满五唯一、售后公房,388万,3室0厅 | 64.73平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3rHtbyvM7_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,精装修+售后公房满五不唯一+视野开阔无遮挡+诚意出售新上,189万,1室1厅 | 39.13平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7UeD0qHXX_1.jpg.296x216.jpg
