20201223,松江,松江老城,荣乐小区 2室1厅 南新上,185万,2室1厅 | 57.1平米 | 南 | 其他 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IbscGw8u6_1.jpg.296x216.jpg
20201223,松江,松江老城,一楼带大院子，户型方正，买进价高税费少，诚意出售房主自荐,368万,3室1厅 | 118.98平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s3tEhtGjS_1.jpg.296x216.jpg
20201223,松江,松江老城,16年新小区，人车分流，户型好,285万,2室2厅 | 81平米 | 南 北 | 精装 | 13层  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_65ep3gMhe_1.jpg.296x216.jpg
20201223,松江,松江老城,新理想花园   正两居  业主诚心出售,265万,2室2厅 | 84.08平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SosmZ6j1E_1.jpg.296x216.jpg
20201223,松江,松江老城,双南夹厅正三房 两卫 楼层佳 位置好 户型正房主自荐,340万,3室2厅 | 109.06平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qEcfEvu2q_1.jpg.296x216.jpg
20201223,松江,松江老城,精装修南北房 户型方正  看房方便 诚意急售,235万,2室2厅 | 76.02平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d5049a17-b35d-49a9-b019-b19dfaf62d6d_1000.jpg.296x216.jpg
20201223,松江,松江老城,荣乐双南房 满五唯一 采光好 全明户型 居家装修手慢无,218万,2室1厅 | 63.26平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bPVnJzBfW_1.jpg.296x216.jpg
20201223,松江,松江老城,大卖丨精装复式，真正的空中别墅,398万,3室2厅 | 102.24平米 | 南 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uDYKHUBDK_1.jpg.296x216.jpg
20201223,松江,松江老城,电梯大三房，边套全明，wai经贸，总价低,450万,3室2厅 | 148.58平米 | 南 | 简装 | 高楼层(共10层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w5NsMtyvb_1.jpg.296x216.jpg
20201223,松江,松江老城,华亭新家苑一房 外经贸 总价低 小户型 位置楼层俱佳,189万,1室1厅 | 56.3平米 | 东 | 毛坯 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_IwYf3je8L_1.jpg.296x216.jpg
20201223,松江,松江老城,不双南夹厅的正三房，位置好不靠路，满五唯一，双阳台新上,350万,3室2厅 | 106.68平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AqLP7qGMb_1.jpg.296x216.jpg
20201223,松江,松江老城,荣乐小区 3室2厅 南新上,365万,3室2厅 | 108.56平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MVcnNOyDg_1.jpg.296x216.jpg
20201223,松江,松江老城,松江颐景园(公寓) 3室2厅 南 北新上,360万,3室2厅 | 91.28平米 | 南 北 | 精装 | 13层  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_unXu5wzfF_1.jpg.296x216.jpg
20201223,松江,松江老城,松乐苑 2室2厅 南新上,310万,2室2厅 | 99.49平米 | 南 | 其他 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_23zWT6HbL_1.jpg.296x216.jpg
20201223,松江,松江老城,装修保养好，配套设施齐全，外经贸,355万,3室2厅 | 89.34平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ck4ldLX3D_1.jpg.296x216.jpg
20201223,松江,松江老城,人乐小区  南北两房 采光好 户型正气房主自荐,164.9万,2室1厅 | 51.69平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1f8a5f4c-027f-445b-8da0-d8846baab1f7.jpg.296x216.jpg
20201223,松江,松江老城,此房南北房  位置佳  总价低  采光好  有钥匙看房随时,174万,2室1厅 | 57平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/28c1edee-1419-44d5-a0b7-37b42224dba9_1000.jpg.296x216.jpg
20201223,松江,松江老城,维罗纳贵都 1室1厅 南新上,115万,1室1厅 | 31.95平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/499c2080-6f41-433b-8a34-b9d852065b95_1000.jpg.296x216.jpg
20201223,松江,松江老城,店长推荐 双南夹厅大三房  近地铁房主自荐,315万,3室2厅 | 116.29平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ExEcXJ5km_1.jpg.296x216.jpg
20201223,松江,松江老城,飞机户型，总价低，位置好，近地铁，拎包入住房主自荐,312万,3室1厅 | 115.42平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Q7aUv0hjF_1.jpg.296x216.jpg
20201223,松江,松江老城,民乐小区 近地铁 正四房 南北互透  诚心出售房主自荐,380万,4室2厅 | 127.95平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HDZNsHuGR_1.jpg.296x216.jpg
20201223,松江,松江老城,松江府三房两卫，xi缺房源，婚房装修，看房方便房主自荐,389万,3室2厅 | 101.85平米 | 南 | 精装 | 12层 | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BMmPBXWB3_1.jpg.296x216.jpg
