20201223,普陀,光新,石光小区 2室1厅 南 北房主自荐,340万,2室1厅 | 56.31平米 | 南 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uUgkmt3qR_1.jpg.296x216.jpg
20201223,普陀,光新,好楼层，精装修，拎包入住，业主诚意出售，看房方便房主自荐,860万,2室2厅 | 100.27平米 | 南 | 精装 | 中楼层(共27层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vc69mk0Fd_1.jpg.296x216.jpg
20201223,普陀,光新,太浜巷小区婚房精装修朝南一室一厅,251万,1室1厅 | 45.2平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p4dmcD1T3_1.jpg.296x216.jpg
20201223,普陀,光新,2003年小区 内环边 地铁300米 看房方便,460万,2室1厅 | 80.74平米 | 西北 | 简装 | 低楼层(共25层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Hcw1ruv98_1.jpg.296x216.jpg
20201223,普陀,光新,此房南北通 精装修 拎包入住 满五税少， 近镇坪路站。房主自荐,780万,2室2厅 | 104.55平米 | 南 | 精装 | 中楼层(共32层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a93d359a-d661-4fbf-83f0-64662127c57b.jpg.296x216.jpg
20201223,普陀,光新,03年小区，电梯房，面积大，精装高区，诚意出售房主自荐,620万,2室2厅 | 96.72平米 | 西南 | 简装 | 高楼层(共25层) | 2003年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-fc2dfd56-bb12-4191-8482-7250a3933cb7.jpg.296x216.jpg
20201223,普陀,光新,房子是南北通四房，小区目前在出售，精装修保养好，,1890万,4室2厅 | 188平米 | 南 北 | 精装 | 低楼层(共21层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gJ9lNBgKz_1.jpg.296x216.jpg
20201223,普陀,光新,诚意出售 双南两房 出入方便 楼层适中 采光充足房主自荐,330万,2室1厅 | 47.77平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2fAzdgWjM_1.jpg.296x216.jpg
20201223,普陀,光新,独栋小区，位置好，电梯全明两房，业主诚心出售！,420万,2室1厅 | 78.75平米 | 南 | 简装 | 低楼层(共18层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dhqZphcB9_1.jpg.296x216.jpg
20201223,普陀,光新,品质小区，品牌物业，得房率高，楼栋采光无遮挡房主自荐,1070万,2室2厅 | 128平米 | 南 | 精装 | 低楼层(共27层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y2cvhKn8J_1.jpg.296x216.jpg
20201223,普陀,光新,管弄三房，两间朝南，精装修，近地铁，南北通房主自荐,389万,3室0厅 | 68.48平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JNUraqYNk_1.jpg.296x216.jpg
20201223,普陀,光新,西边套 · 双南  全明户型 高区视野开阔 婚房精装修房主自荐,700万,2室2厅 | 105.21平米 | 南 | 精装 | 高楼层(共26层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_URLGjJEVL_1.jpg.296x216.jpg
20201223,普陀,光新,香溢二期 13年竣工 品质大两房 两卫 有车位 次价30天,998万,2室2厅 | 127.58平米 | 南 | 精装 | 低楼层(共27层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KhM3c9XvY_1.jpg.296x216.jpg
20201223,普陀,光新,二室一厅，双南户型，户型方正，采光充足房主自荐,270万,2室1厅 | 50.86平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3QQGIZeA1_1.jpg.296x216.jpg
20201223,普陀,光新,售后公房满五唯一，高区双南电梯两房，视野采光好！,632万,2室2厅 | 104.41平米 | 南 | 简装 | 高楼层(共26层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_p9suyq3Qe_1.jpg.296x216.jpg
20201223,普陀,光新,石光小区 3室1厅 西南 北,520万,3室1厅 | 81.96平米 | 西南 北 | 其他 | 低楼层(共19层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_4hqmDeHIZ_1.jpg.296x216.jpg
20201223,普陀,光新,精装修，业主诚意出售，楼层好，视野高区无遮挡房主自荐,870万,3室2厅 | 124.56平米 | 南 | 精装 | 高楼层(共28层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_57isdLfn7_1.jpg.296x216.jpg
20201223,普陀,光新,此房满五唯一，房龄新，总价低，采光敞亮,240万,1室1厅 | 43.49平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZxnGqfAaD_1.jpg.296x216.jpg
20201223,普陀,光新,高楼层 采光好 边套全明的户型房主自荐,235万,1室1厅 | 43.49平米 | 西南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rgp7tNub5_1.jpg.296x216.jpg
20201223,普陀,光新,好房源，边套全明户型，采光视野好，业主诚意出售房主自荐,405万,2室1厅 | 64.94平米 | 西南 | 简装 | 高楼层(共20层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_JrosM0bCu_1.jpg.296x216.jpg
20201223,普陀,光新,精装一室户，满五唯一税费少，房东诚意售,238万,1室1厅 | 39.62平米 | 西南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b794e87-fa44-4f60-8140-33f6dd520429_1000.jpg.296x216.jpg
20201223,普陀,光新,精装总价低 采光兼通风 地铁较近 诚意出售房主自荐,350万,2室1厅 | 62.9平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Afy8Tv2KS_1.jpg.296x216.jpg
20201223,普陀,光新,诚意出售交通便利 配套成熟 南北直通 地铁7号线岚皋路,237万,2室0厅 | 41.53平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_46sPvHm1I_1.jpg.296x216.jpg
20201223,普陀,光新,满五年 ，近地铁 ，配套齐全 ，户型方正，采光好,230万,1室1厅 | 40.11平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_akxtlFqsC_1.jpg.296x216.jpg
20201223,普陀,光新,石泉五村 2室1厅 南,268万,2室1厅 | 50平米 | 南 | 其他 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WMZvn8fQQ_1.jpg.296x216.jpg
20201223,普陀,光新,岚皋大楼 2室1厅 东南,440万,2室1厅 | 69.36平米 | 东南 | 其他 | 高楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ZYaoomfcF_1.jpg.296x216.jpg
20201223,普陀,光新,香溢花城(住宅) 2室2厅 南 北,880万,2室2厅 | 108.21平米 | 南 北 | 精装 | 中楼层(共32层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YYodrkKUH_1.jpg.296x216.jpg
20201223,普陀,光新,高区景观 边套全明 南北两房 采光充足新上,285万,2室0厅 | 51.89平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Kuun2YVsZ_1.jpg.296x216.jpg
20201223,普陀,光新,镇坪路地铁站，全明户型三房，婚房装修，家具家电全留房主自荐,565万,3室1厅 | 89平米 | 南 北 | 精装 | 中楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_wJzFfCINf_1.jpg.296x216.jpg
20201223,普陀,光新,内环边 精装修全亮三房 厅大 交通方便 配套成熟,720万,3室2厅 | 119.12平米 | 南 北 | 精装 | 低楼层(共26层) | 2004年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_vv7e0Ryap_1.jpg.296x216.jpg
20201223,普陀,光新,内环内 地铁口 朝北通 精装 次新房 有车位可出售,2000万,4室2厅 | 185平米 | 南 北 | 精装 | 低楼层(共21层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_adgPuvrVF_1.jpg.296x216.jpg
20201223,普陀,光新,香溢花城 一楼小复式 明显功能分区 诚意出售房主自荐,1200万,5室3厅 | 210.8平米 | 南 北 | 精装 | 低楼层(共25层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cWfDVbUG1_1.jpg.296x216.jpg
20201223,普陀,光新,两房朝南，客厅朝南，楼层高，视野好！房主自荐,1320万,2室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共24层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yyw8m9XdT_1.jpg.296x216.jpg
20201223,普陀,光新,14年次新房，高区景观，采光好精装修保养好税费少房主自荐,1850万,4室2厅 | 203平米 | 东 南 西 | 精装 | 高楼层(共33层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cwhvmf1Up_1.jpg.296x216.jpg
20201223,普陀,光新,内环边，香溢三期18年次新房，全屋地暖，中 央&新风,1425万,3室2厅 | 146.86平米 | 南 | 精装 | 低楼层(共20层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IMaUy2ENP_1.jpg.296x216.jpg
20201223,普陀,光新,精装修，房间全明，三室两厅，户型正气，中间楼层。,520万,3室2厅 | 76平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gVT2l7oWw_1.jpg.296x216.jpg
20201223,普陀,光新,满五唯一！精装修！低楼层！低总价！,228万,2室0厅 | 41.92平米 | 北 | 精装 | 低楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iF4yzzcHg_1.jpg.296x216.jpg
