20201223,长宁,仙霞,一梯两户 户型方正 看房方便 全明户型  近地铁,521万,3室1厅 | 79.63平米 | 南 | 精装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G1hAAUBAU_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一+全明户型+采光充足+家具全留+业主诚意出售新上,290万,1室1厅 | 50.5平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kyaI6p8u6_1.jpg.296x216.jpg
20201223,长宁,仙霞,【店长推荐】满五唯一，售后公房，无增值税个税,402万,2室1厅 | 68.6平米 | 东南 | 简装 | 低楼层(共24层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_lh2yPKNDd_1.jpg.296x216.jpg
20201223,长宁,仙霞,古宋小区 双南两房 看房方便 实际使用面积很大,345万,2室1厅 | 46.01平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RtcGayhux_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五年唯一，小区品质高，人车分流，中区无遮挡！房主自荐,1758万,4室1厅 | 196.98平米 | 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9d42a798-f4fb-47d8-a27e-b293626bb8e5.jpg.296x216.jpg
20201223,长宁,仙霞,急售！满五唯一！商品房大间距！采光好低楼层！,666万,2室2厅 | 85.82平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_26ITOdoza_1.jpg.296x216.jpg
20201223,长宁,仙霞,花园洋房，位置好，南北通采光好，刚满两年,1350万,2室2厅 | 122.61平米 | 南 北 | 精装 | 低楼层(共10层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PKTvQkv8Z_1.jpg.296x216.jpg
20201223,长宁,仙霞,烫金地段，多层洋房，2梯4户朝南户型，满五年精装修房主自荐,718万,3室2厅 | 103.49平米 | 南 | 精装 | 低楼层(共8层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_msqHVQ83R_1.jpg.296x216.jpg
20201223,长宁,仙霞,底楼带大花园，全明飞机户型诚意出售，闹中取静小区。,1148万,2室2厅 | 135.06平米 | 南 | 精装 | 低楼层(共19层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lp1lANLRx_1.jpg.296x216.jpg
20201223,长宁,仙霞,大金更小区 1室0厅 南新上,260万,1室0厅 | 35.09平米 | 南 | 其他 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_izFRy2Nie_1.jpg.296x216.jpg
20201223,长宁,仙霞,三轨交地铁小两房 总价低 南北通风 诚意出售房主自荐,310万,2室0厅 | 54.52平米 | 南 | 简装 | 低楼层(共16层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-458aa882-9e11-4014-b6eb-3fffe9123657.png.296x216.jpg
20201223,长宁,仙霞,无增值税，无个税，中高区电梯两居室，全明户型,482万,2室1厅 | 70平米 | 东南 | 简装 | 中楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_68w4NlUpT_1.jpg.296x216.jpg
20201223,长宁,仙霞,双南户型，房型正气，总价低  ，交通便利,386万,2室1厅 | 75平米 | 南 | 简装 | 低楼层(共24层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MoyfIPl4d_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，售后公房，无个税增值税，户型方正，采光好,469万,3室1厅 | 87.34平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1bpN4clVZ_1.jpg.296x216.jpg
20201223,长宁,仙霞,98年  售后公房  税费少 厨卫全明 南北通风 采光好,333万,1室1厅 | 51.14平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BnGgU7c49_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一 装修实用 中间楼层 看房方便,515万,3室1厅 | 87.34平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_N7oLv1Z5l_1.jpg.296x216.jpg
20201223,长宁,仙霞,优质全明大户型，朝南双阳台，一梯两户通透明亮房主自荐,664万,2室2厅 | 94.9平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rw5OCH2D0_1.jpg.296x216.jpg
20201223,长宁,仙霞,普通住宅 总价低 满五年唯一 免征增值税个税,248万,1室1厅 | 38.64平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FByqMGgsd_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明低楼层 带花园  配套完善 交通便利,359万,1室1厅 | 46.34平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UNM7gWAC0_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明透格局好，精装修，房东诚意,391万,2室2厅 | 76平米 | 东南 | 精装 | 低楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MZxiJjHbi_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，税费少，业主诚意出售，边套全明户型,480万,2室1厅 | 71.2平米 | 东南 东北 | 精装 | 低楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_aMeZJXkPC_1.jpg.296x216.jpg
20201223,长宁,仙霞,店长推荐：电梯房两房，业主诚意出售，看房方便,410万,2室1厅 | 72.24平米 | 南 | 简装 | 低楼层(共26层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_VxpPhoKxE_1.jpg.296x216.jpg
20201223,长宁,仙霞,精装修两房，近地铁2/10号线，出行方便,279万,2室1厅 | 48.28平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GlOO48Mz2_1.jpg.296x216.jpg
20201223,长宁,仙霞,南北两房，满五唯一，业主诚意出售，看房方便房主自荐,270万,2室1厅 | 49.92平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rxWKqxOUJ_1.jpg.296x216.jpg
20201223,长宁,仙霞,售后公房，南北通风，采光充足，交通便利,闹中取静,320万,2室1厅 | 54.24平米 | 南 | 毛坯 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WLDNn4S8R_1.jpg.296x216.jpg
20201223,长宁,仙霞,精装修中楼层，户型好，诚意出售！,660万,2室2厅 | 81.12平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jx65OrOV1_1.jpg.296x216.jpg
20201223,长宁,仙霞,售后公房 中间楼层 优质双南户型 业主诚意出售,450万,2室1厅 | 54.7平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z3IrERsuf_1.jpg.296x216.jpg
20201223,长宁,仙霞,售后公房唯一，高区景观，全明户型房主自荐,555万,3室1厅 | 97.4平米 | 东南 | 简装 | 中楼层(共24层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_1e3De0r0D_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，随时看房，楼层高，视野采光好，诚意卖,440万,2室1厅 | 73.19平米 | 东南 | 简装 | 高楼层(共24层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_tsoEWR2kD_1.jpg.296x216.jpg
20201223,长宁,仙霞,近地铁 近十号线水城路 中楼层 业主诚售,248万,1室1厅 | 38.4平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xP1OSkkXf_1.jpg.296x216.jpg
