20201223,闵行,吴泾,动迁免增值税，复式二层，带大露台，户型南北通透！新上,530万,4室2厅 | 166.66平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AAUCfTQTj.jpg.296x216.jpg
20201223,闵行,吴泾,电梯两房两卫，南北通，采光充足，满五唯一。新上,550万,2室2厅 | 113.13平米 | 南 北 | 简装 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6FWYMcNDx.jpg.296x216.jpg
20201223,闵行,吴泾,满五唯一，双南户型，毛坯两层地下室，看房方便,519万,3室1厅 | 108.4平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zgnSmNDLf_1.jpg.296x216.jpg
20201223,闵行,吴泾,嘉怡水岸两（三）房两卫，书香氛围环伺中的品质小区,508万,3室2厅 | 107平米 | 南 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fd1f2a5c-ac63-47b7-a991-eae7138562f3_1000.jpg.296x216.jpg
20201223,闵行,吴泾,新上房源，满五唯一，中间楼层，采光充足，精致装修,380万,2室2厅 | 88.27平米 | 南 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pZ148hB8K_1.jpg.296x216.jpg
20201223,闵行,吴泾,一楼带院子，采光好，前边无遮挡，南北通风，,215万,2室1厅 | 53.49平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kd0JhOY9g_1.jpg.296x216.jpg
20201223,闵行,吴泾,地铁15号线900米 精装修  楼层高就在虹梅景苑四街坊,425万,2室2厅 | 90.52平米 | 南 北 | 精装 | 中楼层(共13层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oxCwbjj5l.jpg.296x216.jpg
20201223,闵行,吴泾,锦川公寓  精装 六复七复八 诚意出售 带产权车库,596万,5室3厅 | 182平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bqEg2FUQC_1.jpg.296x216.jpg
20201223,闵行,吴泾,塘泾南苑小户型，房型方正，业主诚心出售,318万,1室2厅 | 68.53平米 | 南 | 毛坯 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Onv4dtokV_1.jpg.296x216.jpg
20201223,闵行,吴泾,此房满五唯一，精装修，可直接入住，适合一家人居住。,380万,2室2厅 | 98.69平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EXgX6ZngG_1.jpg.296x216.jpg
20201223,闵行,吴泾,氯碱小区 大阳台 大客厅 楼层好 满五唯一 税费低房主自荐,234.5万,3室1厅 | 72.97平米 | 南 北 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZwTw0LKdz_1.jpg.296x216.jpg
20201223,闵行,吴泾,实用小三房，位置好，楼层好，诚意出售,220万,3室1厅 | 72.97平米 | 南 北 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GjOiUOqUy_1.jpg.296x216.jpg
20201223,闵行,吴泾,万科阳光苑  南北户型 诚心出售 一楼有院子有地下室,456万,3室3厅 | 150.93平米 | 南 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NDdXb4qus_1.jpg.296x216.jpg
20201223,闵行,吴泾,塘泾北苑 动迁房 南北通 交通便利 诚意出售,365万,2室2厅 | 87平米 | 南 | 毛坯 | 低楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lEJoMr6VT.jpg.296x216.jpg
20201223,闵行,吴泾,此房满五唯一，舒适格局，配套设施齐全，交通便利,270万,3室1厅 | 90.97平米 | 南 北 | 简装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_J24TgmcZb_1.jpg.296x216.jpg
20201223,闵行,吴泾,中间楼层，税费少，方正南北两房,368万,2室2厅 | 85.78平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dcbdb49d-f7b3-45f4-beed-4cfbbd875671_1000.jpg.296x216.jpg
20201223,闵行,吴泾,兰香湖边漫步未来社会精英的摇篮就在紫竹半岛花园,770万,1室2厅 | 73.18平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fyH5QF2Mw_1.jpg.296x216.jpg
20201223,闵行,吴泾,精装两房，楼层好安静舒适，交通便利,215万,2室1厅 | 64.33平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5mFtfFtWR.jpg.296x216.jpg
20201223,闵行,吴泾,永德小区 1室0厅 南新上,150万,1室0厅 | 38.5平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gdiZZ2Sip.jpg.296x216.jpg
20201223,闵行,吴泾,通海一 小区中间位置，全明的户型，采光无遮挡,238万,2室1厅 | 67.92平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9c3623a2-7f87-4f16-aa99-f2317d508747_1000.jpg.296x216.jpg
20201223,闵行,吴泾,永德小区 2室1厅 南,220万,2室1厅 | 58.03平米 | 南 | 其他 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CiMOvv3us_1.jpg.296x216.jpg
20201223,闵行,吴泾,高品质景观，精粹的宜居理念将汇聚更多时代精英。,466万,5室3厅 | 139平米 | 暂无数据 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_puHAibR7b_1.jpg.296x216.jpg
20201223,闵行,吴泾,吴泾新村 1室1厅 南,140万,1室1厅 | 27.54平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QRGOE57Md_1.jpg.296x216.jpg
20201223,闵行,吴泾,双柏小区 全明小三房 它来了 看房提前约,270万,3室1厅 | 86.62平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jpje2oNxG_1.jpg.296x216.jpg
20201223,闵行,吴泾,23号线地铁口100米，双南两房，全明户型,252万,2室1厅 | 80.36平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r7JIoTgiK_1.jpg.296x216.jpg
