20201223,闵行,老闵行,税费少 中楼层 全明户型 诚心出售必看好房,205万,2室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yp7sUgIvI_1.jpg.296x216.jpg
20201223,闵行,老闵行,急 急 急精装修，看房方便，诚意出售必看好房,303万,2室2厅 | 81.84平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_cbgUBQMQf_1.jpg.296x216.jpg
20201223,闵行,老闵行,视野好，南北户型，满五唯一，节省7万个税必看好房,385万,2室2厅 | 90.35平米 | 南 北 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wc0d7x6ef_1.jpg.296x216.jpg
20201223,闵行,老闵行,万达旁，动迁房免增值税，双南户型 ，采光好。必看好房,247万,2室1厅 | 76.22平米 | 南 | 毛坯 | 高楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0WGmJaadI_1.jpg.296x216.jpg
20201223,闵行,老闵行,中间位置 经典南北.全明户型楼层佳位置好必看好房,331万,2室2厅 | 101.75平米 | 南 北 | 毛坯 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tr9DkBYvc_1.jpg.296x216.jpg
20201223,闵行,老闵行,高华小区 1室1厅 南必看好房,132万,1室1厅 | 35.5平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_485jevuBN_1.jpg.296x216.jpg
20201223,闵行,老闵行,精品三房，飞机户型，楼层好，居家装修，满五唯一必看好房,379万,3室2厅 | 112.01平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_l49FCI59x_1.jpg.296x216.jpg
20201223,闵行,老闵行,丽都城,三房两厅两卫，满五年诚意出售必看好房,570万,3室2厅 | 121.75平米 | 南 | 简装 | 低楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7617b90d-6550-49d0-ae63-cdd2b9abd819.png.296x216.jpg
20201223,闵行,老闵行,高华小区 2室2厅 南必看好房,160万,2室2厅 | 46.64平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7fc4706a-c294-474b-a781-8f91dbf5a3e5.png.296x216.jpg
20201223,闵行,老闵行,01年小区浇筑结构，南北通透3房2卫，次顶楼采光充足,475万,3室2厅 | 117.9平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b06bdfb7-2208-4e3c-8713-865f4bfe48ee.jpg.296x216.jpg
20201223,闵行,老闵行,精装修顶楼复式，上等装修，楼下标准三房,600万,4室2厅 | 176.14平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W9CJ2kA5W_1.jpg.296x216.jpg
20201223,闵行,老闵行,近交大，顶楼大复式，带大露台，诚心出售新上,820万,5室2厅 | 194.19平米 | 南 | 精装 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EfTlZ0SMI_1.jpg.296x216.jpg
20201223,闵行,老闵行,万科城精装修次新4居楼好位置好环境优美随时看房诚心新上,593万,4室2厅 | 121.64平米 | 南 北 | 精装 | 中楼层(共26层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6UgWmzlzB_2.jpg.296x216.jpg
20201223,闵行,老闵行,夏朵园 2室1厅 南新上,345万,2室1厅 | 94.51平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6i0XoXofT_1.jpg.296x216.jpg
20201223,闵行,老闵行,万达在门口，环境好，，，交通方便。新上,258万,2室1厅 | 72.74平米 | 南 | 毛坯 | 高楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NhnQVIUL6_1.jpg.296x216.jpg
20201223,闵行,老闵行,此房满五唯一，税费少，交通方便，看房方便。房主自荐,154.8万,2室1厅 | 54.68平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AYlDjCo9L_1.jpg.296x216.jpg
20201223,闵行,老闵行,红旗四街坊，2000年以后的房子，交通便利，位置好房主自荐,289万,2室1厅 | 89.16平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-19536004-ee01-4ce6-85da-1faefa30c4c4.png.296x216.jpg
20201223,闵行,老闵行,康乐花园(闵行) 2室2厅 南新上,319万,2室2厅 | 91.31平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PbCOirKBS_1.jpg.296x216.jpg
