20201223,闵行,莘庄,欲把莘城比西子，淡妆浓抹总相宜。必看好房,320万,2室2厅 | 81.98平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q1tvy0TtH_1.jpg.296x216.jpg
20201223,闵行,莘庄,满五年 南北两房 近地铁 对口黎安实验双语 业主很诚意必看好房,279万,2室2厅 | 65.27平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCB8Ep22F_1.jpg.296x216.jpg
20201223,闵行,莘庄,满五年，双南户型，高楼层，诚意出售 钥匙房必看好房,385万,1室1厅 | 56.32平米 | 南 | 简装 | 中楼层(共12层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8OeCnTHZX_1.jpg.296x216.jpg
20201223,闵行,莘庄,精装修，拎包就可以入住，满五唯一必看好房,275万,2室2厅 | 64.16平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_atrCH6dQw_1.jpg.296x216.jpg
20201223,闵行,莘庄,近12号线七莘路站，莘城苑新上婚房装修两房，满五税少必看好房,338万,2室1厅 | 75.83平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jRB8cCWsN_1.jpg.296x216.jpg
20201223,闵行,莘庄,税费少 满五唯一 南北通大阳台全明户型 看房方便必看好房,433万,2室2厅 | 112.19平米 | 南 | 精装 | 低楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yLMck8avc_1.jpg.296x216.jpg
20201223,闵行,莘庄,满五唯一+精装修+户型方正+业主诚意给钱就卖必看好房,229万,1室1厅 | 47.29平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_okOjQcIL5_1.jpg.296x216.jpg
20201223,闵行,莘庄,楼层好位置佳，通风采光好，温馨居家。必看好房,328万,2室1厅 | 63.38平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WO7swep5a_1.jpg.296x216.jpg
20201223,闵行,莘庄,满五唯一 水景房 离大门近 出行便利 中间楼层必看好房,435万,2室2厅 | 97.73平米 | 南 | 精装 | 中楼层(共15层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MxgViOTzD_1.jpg.296x216.jpg
20201223,闵行,莘庄,拎包入住精装花园两房 屋内是温馨港湾 屋外是风花雪月必看好房,418万,2室2厅 | 103.56平米 | 南 | 精装 | 低楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rnOT0x5Cb_1.jpg.296x216.jpg
20201223,闵行,莘庄,附超大花园 正规南北两局 委托钥匙随时可看必看好房,638万,2室2厅 | 92.56平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SnpVoMAhA_1.jpg.296x216.jpg
20201223,闵行,莘庄,康城奇缺三开间朝南大两房，满五惟一省税，诚售！必看好房,407万,2室2厅 | 103.15平米 | 南 | 精装 | 中楼层(共12层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zF1h0E56z_1.jpg.296x216.jpg
20201223,闵行,莘庄,莘庄地铁口次新房，装修好、楼层佳，买进价高、税少必看好房,465万,2室1厅 | 75.12平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/58cf5ce2-4d05-485b-bb34-593c0b5400ae_1000.jpg.296x216.jpg
20201223,闵行,莘庄,精装修两房，错层风格，丰富了居家生活的画面层次必看好房,455万,2室1厅 | 89.04平米 | 南 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a00cc95c-96e3-4a7a-a4e4-83e1bf0eb0aa_1000.jpg.296x216.jpg
20201223,闵行,莘庄,房子满五年+近12号地铁+邻黎安公园+社区医院必看好房,294.5万,2室1厅 | 63.22平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dHNvh40MN_1.jpg.296x216.jpg
