20201223,宝山,共富,富弘苑低楼层+满五唯一+大三房+房龄新+近地铁,498万,3室2厅 | 121.58平米 | 南 北 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MqBGrJ7ty_1.jpg.296x216.jpg
20201223,宝山,共富,复式新上4房 顶楼复式+2门进出互不干扰+干净清爽房主自荐,550万,4室2厅 | 150.21平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SvwQVy8Kj_1.jpg.296x216.jpg
20201223,宝山,共富,新上房源，横套一房，中间楼层，出行方便新上,255万,1室2厅 | 60.13平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0cr2PLhHj_1.jpg.296x216.jpg
20201223,宝山,共富,精装修+六错七复八+阁楼+露台+视野好+错层动静分离房主自荐,650万,4室2厅 | 190.86平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qPFWuZTpK_1.jpg.296x216.jpg
20201223,宝山,共富,此房满五唯一+3年精装修+小区位置好+采光好房主自荐,249万,1室2厅 | 57.51平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3Dz639BDI_1.jpg.296x216.jpg
20201223,宝山,共富,共富四村 2室2厅 南新上,399万,2室2厅 | 90.24平米 | 南 | 精装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0XEoikN7w_1.jpg.296x216.jpg
20201223,宝山,共富,02年小区+绿化好+富花苑+改善型大两房！房主自荐,415万,2室2厅 | 102.45平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O7AE14qm1_1.jpg.296x216.jpg
20201223,宝山,共富,Lianjia共富一村横套一房带双天井，近地铁、配套成熟房主自荐,226万,1室1厅 | 51.03平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TADd9AY3E_1.jpg.296x216.jpg
20201223,宝山,共富,飞机户型三房＋次顶楼＋小区中间位置＋满五＋采光好房主自荐,370万,3室1厅 | 94.41平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qxx46E3yJ_1.jpg.296x216.jpg
20201223,宝山,共富,绝世好房  顶复精装60万  已改好5房 20平大露台房主自荐,568万,5室2厅 | 155.46平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4OG7t6YCr.jpg.296x216.jpg
20201223,宝山,共富,一手动迁房，免征增值税以及附加税,楼层好+南北户型房主自荐,510万,3室2厅 | 126.21平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_NGPzTKqUa.jpg.296x216.jpg
20201223,宝山,共富,急售+10平花园+近地铁1号线+小区位置好房主自荐,210万,1室1厅 | 47.66平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xUMUq81XP_1.jpg.296x216.jpg
20201223,宝山,共富,二村顶楼复式，单价低，附带露台，房龄新，近地铁房主自荐,409万,3室2厅 | 117.97平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cyfoxLHBs_1.jpg.296x216.jpg
20201223,宝山,共富,满五唯一  电梯房楼层好  采光通风好  业主诚心出售房主自荐,512万,3室1厅 | 142.29平米 | 南 北 | 简装 | 中楼层(共13层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d1I2xXnOF_1.jpg.296x216.jpg
20201223,宝山,共富,店长推荐+好楼层+飞机户型+错层大4房房主自荐,540万,4室2厅 | 143.7平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HczmdQwIa_1.jpg.296x216.jpg
20201223,宝山,共富,房本满五+05年次新小区环境好+户型正气,360万,2室2厅 | 90.05平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y0cVSbTzw_1.jpg.296x216.jpg
20201223,宝山,共富,小区中间前排位置~出行方便~前后无遮挡~01年新房龄房主自荐,370万,3室2厅 | 101.92平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lKeH7od5I_1.jpg.296x216.jpg
20201223,宝山,共富,房本满五并唯一，飞机户型通透，采光好无遮挡,455万,3室2厅 | 106.29平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qpDltiQ7q_1.jpg.296x216.jpg
20201223,宝山,共富,全明飞机户型~南北通风~采光极好~出行方便~总价低房主自荐,367万,3室1厅 | 95.94平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uM4Vj9hwL_1.jpg.296x216.jpg
20201223,宝山,共富,共富次新飞机户型大三房，三室两厅，一家人刚刚好,530万,3室2厅 | 138.85平米 | 南 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_as7WDR94T_1.jpg.296x216.jpg
20201223,宝山,共富,宝山+富隆苑+电梯房+户型方正+停车方便+中等装修房主自荐,545万,3室2厅 | 131.97平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mq84hZRpw_1.jpg.296x216.jpg
20201223,宝山,共富,2006年的南北两房，满五，带花园，中间位置+租赁车位房主自荐,370万,2室2厅 | 95.12平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mXZM7NrGf_1.jpg.296x216.jpg
20201223,宝山,共富,近地铁，中间楼层，飞机户型三房，满五，带固定车位房主自荐,395万,3室2厅 | 97.85平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6f9o5muWa_1.jpg.296x216.jpg
